MSMEG_0001	0.924814605
MSMEG_0002	0.95113612
MSMEG_0003	0.393393263
MSMEG_0004	0.623521439
MSMEG_0005	1.888661554
MSMEG_0006	0.85450966
MSMEG_0007	0.74558763
MSMEG_0009	2.038665518
MSMEG_0011	0.491069133
MSMEG_0012	0.169045134
MSMEG_0015	0.710272811
MSMEG_0014	1.580489267
MSMEG_0016	#DIV/0!
MSMEG_0017	#DIV/0!
MSMEG_0018	#DIV/0!
MSMEG_0019	0.281794926
MSMEG_0020	0.903629786
MSMEG_0021	1.448415724
MSMEG_0022	0.843184871
MSMEG_0023	1.885353041
MSMEG_0024	3.521256588
MSMEG_0025	0.211282284
MSMEG_0026	0.630653086
MSMEG_0027	0.262417705
MSMEG_0029	1.393583229
MSMEG_0028	0.764081588
MSMEG_0030	0.575221877
MSMEG_0031	0.340832889
MSMEG_0032	0.427308693
MSMEG_0033	0.370622637
MSMEG_0034	0.6313614
MSMEG_0035	1.584526004
MSMEG_0036	#DIV/0!
MSMEG_0039	#DIV/0!
MSMEG_0040	#DIV/0!
MSMEG_0041	0.541004731
MSMEG_0042	0.420063672
MSMEG_0043	0.252020837
MSMEG_0044	0.501908238
MSMEG_0045	0.491724607
MSMEG_0046	0.941083781
MSMEG_0047	0.293937104
MSMEG_0048	1.264716499
MSMEG_0049	0.87897724
MSMEG_0050	1.189606276
MSMEG_0051	1.012634807
MSMEG_0052	0.655690056
MSMEG_0054	#DIV/0!
MSMEG_0053	0.964316121
MSMEG_0055	0.692323338
MSMEG_0056	0.576117149
MSMEG_0057	0.991384108
MSMEG_0058	0.864494204
MSMEG_0059	1.488628367
MSMEG_0060	0.569026996
MSMEG_0061	0.810799864
MSMEG_0062	0.705415175
MSMEG_0063	5.411398467
MSMEG_0064	0.498536052
MSMEG_0065	3.290173534
MSMEG_0066	2.834296097
MSMEG_0067	1.341284416
MSMEG_0068	0.622071316
MSMEG_0069	0.744965035
MSMEG_0070	0.902343698
MSMEG_0071	1.468780138
MSMEG_0074	#DIV/0!
MSMEG_0075	#DIV/0!
MSMEG_0076	1.52708945
MSMEG_0077	3.065998118
MSMEG_0078	2.572850043
MSMEG_0079	#DIV/0!
MSMEG_0080	1.469690601
MSMEG_0081	1.963949489
MSMEG_0082	0.297825618
MSMEG_0083	0.694763215
MSMEG_0084	1.496763513
MSMEG_0085	0.83148546
MSMEG_0086	0.71599147
MSMEG_0087	0.433949732
MSMEG_0088	0.993053784
MSMEG_0089	0.429019676
MSMEG_0090	0.16803327
MSMEG_0091	0.754544384
MSMEG_0092	2.079796749
MSMEG_0093	0.681805764
MSMEG_0095	0.90618986
MSMEG_0094	2.208822628
MSMEG_0096	3.124313209
MSMEG_0097	0.554362474
MSMEG_0098	0.436136296
MSMEG_0099	0.862742129
MSMEG_0101	0.584796927
MSMEG_0100	0.701289589
MSMEG_0102	1.544771197
MSMEG_0103	#DIV/0!
MSMEG_0104	0.340539412
MSMEG_0105	0.695184529
MSMEG_0106	#DIV/0!
MSMEG_0107	0.552872193
MSMEG_0108	1.02870976
MSMEG_0109	0.67996841
MSMEG_0110	0.852035503
MSMEG_0111	0.561575327
MSMEG_0112	#DIV/0!
MSMEG_0113	0.436167063
MSMEG_0114	1.44140293
MSMEG_0116	0.389033937
MSMEG_0115	1.083085422
MSMEG_0117	0.825813644
MSMEG_0118	0.822556698
MSMEG_0119	2.812408053
MSMEG_0120	0.936041342
MSMEG_0121	0.627101454
MSMEG_0122	0.204819023
MSMEG_0123	#DIV/0!
MSMEG_0125	#DIV/0!
MSMEG_0124	0.728536705
MSMEG_0126	0.4754284
MSMEG_0127	1.277519033
MSMEG_0128	0.744067894
MSMEG_0129	0.82077852
MSMEG_0130	0.263424719
MSMEG_0131	1.429597591
MSMEG_0132	0.376281854
MSMEG_0133	0.730055105
MSMEG_0134	0.590477777
MSMEG_0135	0.620567888
MSMEG_0136	0.449721125
MSMEG_0137	0.558336472
MSMEG_0138	0.380568868
MSMEG_0139	0.704417093
MSMEG_0140	0.265791244
MSMEG_0141	0.196106482
MSMEG_0142	1.112737893
MSMEG_0143	1.175572597
MSMEG_0145	#DIV/0!
MSMEG_0144	#DIV/0!
MSMEG_0146	1.330016167
MSMEG_0147	0.36778176
MSMEG_0148	4.132982448
MSMEG_0149	0.915312728
MSMEG_0150	0.493019862
MSMEG_0151	1.463915633
MSMEG_0152	0.749044576
MSMEG_0153	1.826440498
MSMEG_0154	0.707178451
MSMEG_0155	1.699239311
MSMEG_0156	0.51966548
MSMEG_0157	0.936433752
MSMEG_0158	2.9131017
MSMEG_0159	0.662203843
MSMEG_0160	0.737656656
MSMEG_0161	0.9392918
MSMEG_0162	4.529206689
MSMEG_0163	2.124873868
MSMEG_0164	#DIV/0!
MSMEG_0165	0.486285445
MSMEG_0166	0.813478791
MSMEG_0167	0.545427045
MSMEG_0168	1.764110069
MSMEG_0169	0.151391157
MSMEG_0170	0.677389359
MSMEG_0171	1.730598544
MSMEG_0172	0.910871686
MSMEG_0173	#DIV/0!
MSMEG_0174	0.418142873
MSMEG_0175	0.191330941
MSMEG_0176	#DIV/0!
MSMEG_0177	#DIV/0!
MSMEG_0178	#DIV/0!
MSMEG_0179	0.540264736
MSMEG_0180	0.498919154
MSMEG_0181	0.272775495
MSMEG_0182	#DIV/0!
MSMEG_0184	0.539118926
MSMEG_0183	#DIV/0!
MSMEG_0185	#DIV/0!
MSMEG_0186	0.54517176
MSMEG_0188	0.866883061
MSMEG_0187	0.786129472
MSMEG_0189	#DIV/0!
MSMEG_0190	#DIV/0!
MSMEG_0191	#DIV/0!
MSMEG_0192	0.634075785
MSMEG_0193	0.813931345
MSMEG_0194	0.904192671
MSMEG_0195	0.232411874
MSMEG_0196	0.271957548
MSMEG_0197	#DIV/0!
MSMEG_0198	0.633214306
MSMEG_0200	0.186214556
MSMEG_0201	#DIV/0!
MSMEG_0202	#DIV/0!
MSMEG_0203	#DIV/0!
MSMEG_0204	0.259861486
MSMEG_0205	#DIV/0!
MSMEG_0207	1.540416665
MSMEG_0206	0.091249071
MSMEG_0208	0.598381278
MSMEG_0209	1.587915364
MSMEG_0210	0.582484615
MSMEG_0211	0.711978125
MSMEG_0212	1.258310062
MSMEG_0213	0.735534163
MSMEG_0214	0.449455832
MSMEG_0215	0.715230088
MSMEG_0216	2.743053076
MSMEG_0217	1.685632557
MSMEG_0218	1.545727802
MSMEG_0219	1.217078373
MSMEG_0220	0.50975653
MSMEG_0221	0.627005336
MSMEG_0222	1.00373031
MSMEG_0223	#DIV/0!
MSMEG_0224	1.379637688
MSMEG_0225	0.374378417
MSMEG_0226	0.36661687
MSMEG_0227	0.317730628
MSMEG_0228	0.209115054
MSMEG_0229	1.259302831
MSMEG_0230	0.505027108
MSMEG_0231	2.570279491
MSMEG_0232	0.205347828
MSMEG_0233	0.799586471
MSMEG_0234	1.418873273
MSMEG_0235	0.806178703
MSMEG_0236	0.437629544
MSMEG_0237	#DIV/0!
MSMEG_0238	1.350478859
MSMEG_0239	0.887981427
MSMEG_0240	0.949803813
MSMEG_0241	0.282739426
MSMEG_0242	1.00051714
MSMEG_0243	1.334710923
MSMEG_0244	0.08509133
MSMEG_0246	0.213457649
MSMEG_0245	0.494953833
MSMEG_0247	1.924588631
MSMEG_0248	0.171788671
MSMEG_0249	0.262521475
MSMEG_0250	0.478934151
MSMEG_0251	0.408360635
MSMEG_0252	0.582094498
MSMEG_0253	0.531606703
MSMEG_0254	0.34085094
MSMEG_0255	2.15316349
MSMEG_0256	0.245569104
MSMEG_0257	1.296628042
MSMEG_0259	0.438381027
MSMEG_0258	0.529197088
MSMEG_0260	0.59981088
MSMEG_0261	0.812637669
MSMEG_0262	0.318997023
MSMEG_0263	0.551111546
MSMEG_0264	0.248452748
MSMEG_0266	0.626730603
MSMEG_0265	#DIV/0!
MSMEG_0267	1.079326875
MSMEG_0268	0.31437898
MSMEG_0269	2.289608563
MSMEG_0270	1.053677586
