Gene	Start	Stop	Strand	Leaderless?
MSMEG_0001	499	1692	+	N
MSMEG_0002	1721	2614	+	N
MSMEG_0003	2624	3778	+	N
MSMEG_0004	3775	4359	+	N
MSMEG_0005	4591	6618	+	N
MSMEG_0006	6648	9176	+	N
MSMEG_0007	9229	10011	+	N
MSMEG_0008	10072	10148	+	N
MSMEG_0009	10184	10276	+	N
MSMEG_0010	10293	10368	+	N
MSMEG_0011	10411	11211	+	N
MSMEG_0012	11215	12246	+	N
MSMEG_0013	12272	13301	+	N
MSMEG_0015	13310	14140	+	N
MSMEG_0014	15098	14130	-	N
MSMEG_0016	15256	15522	+	N
MSMEG_0017	15525	17252	+	N
MSMEG_0018	17249	19018	+	N
MSMEG_0019	19052	41623	+	N
MSMEG_0020	42636	41689	-	N
MSMEG_0021	42944	43354	+	N
MSMEG_0022	43366	44688	+	N
MSMEG_0023	45102	44692	-	N
MSMEG_0024	45223	45750	+	Y
MSMEG_0025	46261	45854	-	N
MSMEG_0026	46701	46417	-	N
MSMEG_0027	46797	47546	+	N
MSMEG_0029	47564	48238	+	Y
MSMEG_0028	50093	48216	-	N
MSMEG_0030	51349	50090	-	N
MSMEG_0031	52856	51381	-	N
MSMEG_0032	54268	52853	-	N
MSMEG_0033	55803	54265	-	N
MSMEG_0034	56293	55826	-	N
MSMEG_0035	57892	56429	-	N
MSMEG_0036	58140	58033	-	N
MSMEG_0037	58144	58226	+	N
MSMEG_0038	58186	58648	+	N
MSMEG_0039	59029	58655	-	N
MSMEG_0040	59346	59041	-	N
MSMEG_0041	59824	59348	-	N
MSMEG_0042	59900	60463	+	Y
MSMEG_0043	61264	60479	-	Y
MSMEG_0044	61470	63548	+	N
MSMEG_0045	63545	66013	+	N
MSMEG_0046	66010	67167	+	N
MSMEG_0047	68117	67182	-	N
MSMEG_0048	68264	68767	+	N
MSMEG_0049	69734	68769	-	N
MSMEG_0050	69779	70045	+	N
MSMEG_0051	70527	70234	-	N
MSMEG_0052	70911	71690	+	N
MSMEG_0054	71738	72823	+	N
MSMEG_0053	74208	72820	-	N
MSMEG_0055	74600	76177	+	N
MSMEG_0056	76213	76530	+	N
MSMEG_0057	76535	77383	+	N
MSMEG_0058	77398	77925	+	N
MSMEG_0059	77918	79642	+	N
MSMEG_0060	79650	81089	+	N
MSMEG_0061	81089	83317	+	N
MSMEG_0062	83318	85099	+	N
MSMEG_0063	85248	85541	+	N
MSMEG_0064	85616	86911	+	N
MSMEG_0065	86997	87299	+	N
MSMEG_0066	87331	87618	+	N
MSMEG_0067	87738	89162	+	N
MSMEG_0068	89159	90691	+	N
MSMEG_0069	91173	91874	+	N
MSMEG_0070	92737	93072	+	N
MSMEG_0071	93072	95339	+	N
MSMEG_0072	96300	95440	-	N
MSMEG_0074	96469	97935	+	N
MSMEG_0073	99105	97891	-	Y
MSMEG_0075	99229	99585	+	N
MSMEG_0076	99798	101360	+	N
MSMEG_0077	102093	101776	-	N
MSMEG_0078	102702	102127	-	N
MSMEG_0079	103682	102936	-	N
MSMEG_0080	104243	103713	-	N
MSMEG_0081	104583	104251	-	N
MSMEG_0082	105988	104594	-	N
MSMEG_0083	107334	105985	-	N
MSMEG_0084	107822	107565	-	N
MSMEG_0085	109849	107834	-	N
MSMEG_0086	110829	109846	-	N
MSMEG_0087	111593	110826	-	N
MSMEG_0088	111735	113369	+	N
MSMEG_0089	113433	114407	+	N
MSMEG_0090	116594	114447	-	N
MSMEG_0091	117184	116600	-	Y (1 nt leader)
MSMEG_0092	117306	117941	+	Y
MSMEG_0093	118003	118965	+	Y (1 nt leader)
MSMEG_0095	118962	119897	+	N
MSMEG_0094	120057	119878	-	N
MSMEG_0096	120261	121115	+	N
MSMEG_0097	121119	122084	+	N
MSMEG_0098	122105	122818	+	Y
MSMEG_0099	122829	123314	+	N
MSMEG_0101	123311	123865	+	N
MSMEG_0100	124643	123837	-	N
MSMEG_0102	125875	124640	-	N
MSMEG_0103	127099	125900	-	N
MSMEG_0104	128024	127143	-	Y
MSMEG_0105	128084	128734	+	N
MSMEG_0106	128750	129916	+	N
MSMEG_0107	131527	129926	-	N
MSMEG_0108	132709	131570	-	N
MSMEG_0109	134153	132711	-	N
MSMEG_0110	135713	134172	-	N
MSMEG_0111	136787	135783	-	Y
MSMEG_0112	136912	136796	-	N
MSMEG_0113	136950	137810	+	N
MSMEG_0114	137817	138845	+	N
MSMEG_0116	138829	139626	+	N
MSMEG_0115	140287	139607	-	N
MSMEG_0117	141147	140284	-	N
MSMEG_0118	141232	141732	+	N
MSMEG_0119	141850	141740	-	Y
MSMEG_0120	141969	142628	+	N
MSMEG_0121	142625	143398	+	N
MSMEG_0122	143535	144542	+	N
MSMEG_0123	144542	145048	+	N
MSMEG_0125	145067	146593	+	N
MSMEG_0124	147232	146549	-	Y
MSMEG_0126	148347	147229	-	N
MSMEG_0127	149478	148387	-	Y
MSMEG_0128	149514	149963	+	Y
MSMEG_0129	149990	150424	+	N
MSMEG_0130	151123	150431	-	N
MSMEG_0131	151273	152907	+	N
MSMEG_0132	153100	153900	+	N
MSMEG_0133	153902	154771	+	N
MSMEG_0134	154776	156005	+	N
MSMEG_0135	156002	157033	+	N
MSMEG_0136	157030	158604	+	N
MSMEG_0137	158623	160266	+	N
MSMEG_0138	160482	161438	+	Y (1 nt leader)
MSMEG_0139	161440	162996	+	N
MSMEG_0140	162966	163574	+	N
MSMEG_0141	163571	164539	+	N
MSMEG_0142	164536	165084	+	N
MSMEG_0143	165051	165941	+	N
MSMEG_0145	165944	166612	+	N
MSMEG_0144	168477	166609	-	N
MSMEG_0146	169361	168543	-	Y
MSMEG_0147	170333	169419	-	N
MSMEG_0148	170996	170367	-	N
MSMEG_0149	172504	171077	-	N
MSMEG_0150	173934	172501	-	N
MSMEG_0151	174254	173931	-	N
MSMEG_0152	175340	174258	-	N
MSMEG_0153	175555	176568	+	N
MSMEG_0154	176579	178012	+	N
MSMEG_0155	178524	178054	-	N
MSMEG_0156	178631	179557	+	N
MSMEG_0157	179717	181450	+	N
MSMEG_0158	181519	182781	+	N
MSMEG_0159	182884	183369	+	N
MSMEG_0160	183366	184964	+	N
MSMEG_0161	184961	187780	+	N
MSMEG_0162	187782	188006	+	N
MSMEG_0163	188381	188070	-	N
MSMEG_0164	189770	188427	-	N
MSMEG_0165	189944	190786	+	N
MSMEG_0166	191545	190817	-	N
MSMEG_0167	193149	191746	-	N
MSMEG_0168	193685	194971	+	N
MSMEG_0170	195185	196567	+	N
MSMEG_0169	195203	195087	-	N
MSMEG_0171	196658	197587	+	N
MSMEG_0172	198190	197588	-	N
MSMEG_0173	198691	198371	-	N
MSMEG_0174	199059	198688	-	N
MSMEG_0175	199157	200293	+	N
MSMEG_0176	200304	201158	+	N
MSMEG_0177	201116	202087	+	N
MSMEG_0178	202084	202866	+	N
MSMEG_0179	203547	202876	-	N
MSMEG_0180	204173	203664	-	Y
MSMEG_0181	204225	205163	+	N
MSMEG_0182	205190	206347	+	N
MSMEG_0184	206362	208134	+	N
MSMEG_0183	208584	208033	-	N
MSMEG_0185	211442	208581	-	N
MSMEG_0186	211915	211421	-	N
MSMEG_0188	212103	212558	+	N
MSMEG_0187	213024	212548	-	N
MSMEG_0189	214165	212999	-	N
MSMEG_0190	215742	214183	-	N
MSMEG_0191	216680	215751	-	N
MSMEG_0192	216912	217814	+	N
MSMEG_0193	217828	218724	+	N
MSMEG_0194	219423	218725	-	N
MSMEG_0195	219598	221238	+	N
MSMEG_0196	221243	222139	+	N
MSMEG_0197	222793	222149	-	N
MSMEG_0198	223936	222803	-	N
MSMEG_0199	223997	224775	+	N
MSMEG_0200	225160	227712	+	N
MSMEG_0202	227950	229272	+	N
MSMEG_0201	228231	227725	-	N
MSMEG_0203	229981	229280	-	N
MSMEG_0204	230210	232255	+	N
MSMEG_0205	232667	232344	-	N
MSMEG_0207	232728	233168	+	N
MSMEG_0206	235296	233161	-	N
MSMEG_0208	235408	235785	+	N
MSMEG_0209	235782	236060	+	N
MSMEG_0210	237149	236061	-	N
MSMEG_0211	239607	237244	-	N
MSMEG_0212	240026	239607	-	Y
MSMEG_0213	240471	240031	-	N
MSMEG_0214	241771	240488	-	N
MSMEG_0215	242465	241749	-	Y
MSMEG_0216	242621	243397	+	Y
MSMEG_0217	244601	243477	-	N
MSMEG_0218	244773	245267	+	N
MSMEG_0219	246263	245271	-	Y
MSMEG_0220	246360	247199	+	Y
MSMEG_0221	247214	248173	+	N
MSMEG_0222	248214	248957	+	N
MSMEG_0223	248954	249436	+	N
MSMEG_0224	249456	250112	+	Y
MSMEG_0225	253017	250120	-	N
MSMEG_0226	253442	253014	-	N
MSMEG_0227	253688	254257	+	N
MSMEG_0228	254330	257482	+	N
MSMEG_0229	259288	257573	-	Y
MSMEG_0230	259367	259672	+	Y
MSMEG_0231	259990	259691	-	Y
MSMEG_0232	260053	261282	+	N
MSMEG_0233	261440	262480	+	N
MSMEG_0234	264543	262543	-	Y
MSMEG_0235	264607	265227	+	Y
MSMEG_0236	265224	265913	+	N
MSMEG_0237	266047	267453	+	N
MSMEG_0238	268102	267632	-	N
MSMEG_0239	269390	268095	-	Y
MSMEG_0240	270074	269466	-	N
MSMEG_0241	272941	270077	-	N
MSMEG_0242	273263	273844	+	N
MSMEG_0243	274044	274394	+	N
MSMEG_0244	274400	275140	+	N
MSMEG_0246	275161	276513	+	N
MSMEG_0245	276869	276501	-	N
MSMEG_0247	278070	276856	-	N
MSMEG_0248	279161	278070	-	Y
MSMEG_0249	279235	280374	+	N
MSMEG_0250	283423	280382	-	N
MSMEG_0251	284216	283518	-	N
MSMEG_0252	284941	284219	-	N
MSMEG_0253	285164	286186	+	N
MSMEG_0254	286183	287649	+	N
MSMEG_0255	287807	289633	+	N
MSMEG_0256	289749	290651	+	N
MSMEG_0257	290685	292199	+	Y
MSMEG_0259	292201	293106	+	N
MSMEG_0258	293794	293084	-	N
MSMEG_0260	293906	294721	+	N
