id	source	region	left	right	feature	strand	new_locus	old_locus	exon
NC_013967.1	RefSeq	gene	258	1952	CDS	+	HVO_RS04710	HVO_0001	
NC_013967.1	RefSeq	gene	2000	2797	CDS	-	HVO_RS04715	HVO_0002	
NC_013967.1	RefSeq	gene	2942	4543	CDS	+	HVO_RS04720	HVO_0003	
NC_013967.1	RefSeq	gene	4686	5813	CDS	+	HVO_RS04725	HVO_0004	
NC_013967.1	RefSeq	gene	5936	6745	CDS	-	HVO_RS04730	HVO_0005	
NC_013967.1	RefSeq	gene	6854	7282	CDS	-	HVO_RS04735	HVO_0006	
NC_013967.1	RefSeq	gene	8629	8787	CDS	-		HVO_0007	
NC_013967.1	RefSeq	gene	7470	8648	CDS	+	HVO_RS04740	HVO_0008	
NC_013967.1	RefSeq	gene	8873	10219	CDS	+	HVO_RS04745	HVO_0009	
NC_013967.1	RefSeq	gene	10248	10907	CDS	-	HVO_RS04750	HVO_0010	
NC_013967.1	RefSeq	gene	10956	11528	CDS	-	HVO_RS04755	HVO_0011	
NC_013967.1	RefSeq	gene	11897	12391	CDS	-	HVO_RS04765	HVO_0013	
NC_013967.1	RefSeq	gene	12388	14871	CDS	-	HVO_RS04770	HVO_0014	
NC_013967.1	RefSeq	gene	14980	15225	CDS	+	HVO_RS04775	HVO_0015	
NC_013967.1	RefSeq	gene	15479	16336	CDS	+	HVO_RS04780	HVO_0016	
NC_013967.1	RefSeq	gene	16358	16936	CDS	-	HVO_RS04785	HVO_0017	
NC_013967.1	RefSeq	gene	17030	17488	CDS	-	HVO_RS04790	HVO_0018	
NC_013967.1	RefSeq	gene	17615	18295	CDS	+	HVO_RS04795	HVO_0019	
NC_013967.1	RefSeq	gene	18323	19408	CDS	-	HVO_RS04800	HVO_0020	
NC_013967.1	RefSeq	gene	19512	21233	CDS	-	HVO_RS04805	HVO_0021	
NC_013967.1	RefSeq	gene	21243	22379	CDS	-	HVO_RS04810	HVO_0022	
NC_013967.1	RefSeq	gene	22510	23400	CDS	+	HVO_RS04815	HVO_0023	
NC_013967.1	RefSeq	gene	23410	24186	CDS	-	HVO_RS04820	HVO_0024	
NC_013967.1	RefSeq	gene	24438	25298	CDS	+	HVO_RS04825	HVO_0025	
NC_013967.1	RefSeq	gene	25352	26794	CDS	-	HVO_RS04830	HVO_0026	
NC_013967.1	RefSeq	gene	26974	27573	CDS	+	HVO_RS04835	HVO_0027	
NC_013967.1	RefSeq	gene	27832	28101	CDS	-	HVO_RS04840	HVO_0028	
NC_013967.1	RefSeq	gene	28190	30286	CDS	+	HVO_RS04845	HVO_0029	
NC_013967.1	RefSeq	gene	30293	30712	CDS	+	HVO_RS04850	HVO_0030	
NC_013967.1	RefSeq	gene	30912	31106	CDS	+	HVO_RS20090	HVO_0031	
NC_013967.1	RefSeq	gene	31121	32206	CDS	+	HVO_RS04855	HVO_0032	
NC_013967.1	RefSeq	gene	32276	32716	CDS	+	HVO_RS04860	HVO_0033	
NC_013967.1	RefSeq	gene	32744	33238	CDS	-	HVO_RS04865	HVO_0034	
NC_013967.1	RefSeq	gene	33689	34879	CDS	-	HVO_RS04870	HVO_0035	
NC_013967.1	RefSeq	gene	34980	35174	CDS	+	HVO_RS04875	HVO_0036	
NC_013967.1	RefSeq	gene	35225	35722	CDS	+	HVO_RS04880	HVO_0037	
NC_013967.1	RefSeq	gene	35776	37152	CDS	-	HVO_RS04885	HVO_0038	
NC_013967.1	RefSeq	gene	37234	39438	CDS	-	HVO_RS04890	HVO_0039	
NC_013967.1	RefSeq	gene	39586	40056	CDS	+	HVO_RS04895	HVO_0040	
NC_013967.1	RefSeq	gene	40093	40992	CDS	-	HVO_RS04900	HVO_0041	
NC_013967.1	RefSeq	gene	41076	42221	CDS	-	HVO_RS04905	HVO_0042	
NC_013967.1	RefSeq	gene	42218	43354	CDS	-	HVO_RS04910	HVO_0043	
NC_013967.1	RefSeq	gene	43351	44334	CDS	-	HVO_RS04915	HVO_0044	
NC_013967.1	RefSeq	gene	44389	45432	CDS	-	HVO_RS04920	HVO_0045	
NC_013967.1	RefSeq	gene	45429	46304	CDS	-	HVO_RS04925	HVO_0046	
NC_013967.1	RefSeq	gene	46306	46485	CDS	-	HVO_RS04930	HVO_0047	
NC_013967.1	RefSeq	gene	46806	48272	CDS	-	HVO_RS04935	HVO_0048	
NC_013967.1	RefSeq	gene	48274	49491	CDS	-	HVO_RS04940	HVO_0049	
NC_013967.1	RefSeq	gene	49766	49882	CDS	-		HVO_0050	
NC_013967.1	RefSeq	gene	49976	51190	CDS	-	HVO_RS04945	HVO_0051	
NC_013967.1	RefSeq	gene	51190	51675	CDS	-	HVO_RS04950	HVO_0052	
NC_013967.1	RefSeq	gene	51719	52321	CDS	-	HVO_RS04955	HVO_0053	
NC_013967.1	RefSeq	gene	52328	54112	CDS	-	HVO_RS04960	HVO_0054	
NC_013967.1	RefSeq	gene	54105	54959	CDS	-	HVO_RS04965	HVO_0055	
NC_013967.1	RefSeq	gene	55092	55670	CDS	-	HVO_RS04970	HVO_0056	
NC_013967.1	RefSeq	gene	55732	56178	CDS	-	HVO_RS04975	HVO_0057	
NC_013967.1	RefSeq	gene	56181	57515	CDS	-	HVO_RS04980	HVO_0058	
NC_013967.1	RefSeq	gene	57512	58591	CDS	-	HVO_RS04985	HVO_0059	
NC_013967.1	RefSeq	gene	58588	60027	CDS	-	HVO_RS04990	HVO_0060	
NC_013967.1	RefSeq	gene	60034	61083	CDS	-	HVO_RS04995	HVO_0061	
NC_013967.1	RefSeq	gene	61296	63134	CDS	-	HVO_RS05000	HVO_0062	
NC_013967.1	RefSeq	gene	63370	63537	CDS	+		HVO_0063	
NC_013967.1	RefSeq	gene	63622	64041	CDS	+	HVO_RS05005	HVO_0064	
NC_013967.1	RefSeq	gene	64044	67652	CDS	+	HVO_RS05010	HVO_0065	
NC_013967.1	RefSeq	gene	67810	69072	CDS	-	HVO_RS05015	HVO_0066	
NC_013967.1	RefSeq	gene	69249	69536	CDS	+	HVO_RS05020	HVO_0067	
NC_013967.1	RefSeq	gene	69607	70503	CDS	+	HVO_RS05025	HVO_0068	
NC_013967.1	RefSeq	gene	70535	72082	CDS	-	HVO_RS05030	HVO_0069	
NC_013967.1	RefSeq	gene	72161	72538	CDS	-	HVO_RS05035	HVO_0070	
NC_013967.1	RefSeq	gene	72583	72900	CDS	-	HVO_RS05040	HVO_0071	
NC_013967.1	RefSeq	gene	73059	73280	CDS	-	HVO_RS05045	HVO_0072	
NC_013967.1	RefSeq	gene	74663	76093	CDS	-	HVO_RS05055	HVO_0073	
NC_013967.1	RefSeq	gene	73836	74666	CDS	+	HVO_RS05050	HVO_0074	
NC_013967.1	RefSeq	gene	76230	77447	CDS	-	HVO_RS05060	HVO_0075	
NC_013967.1	RefSeq	gene	77449	78192	CDS	-	HVO_RS05065	HVO_0076	
NC_013967.1	RefSeq	gene	78189	79070	CDS	-	HVO_RS05070	HVO_0077	
NC_013967.1	RefSeq	gene	79072	80163	CDS	-	HVO_RS05075	HVO_0078	
NC_013967.1	RefSeq	gene	80270	80659	CDS	+	HVO_RS05080	HVO_0079	
NC_013967.1	RefSeq	gene	80735	80968	CDS	+	HVO_RS05085	HVO_0080	
NC_013967.1	RefSeq	gene	81002	82339	CDS	-	HVO_RS05090	HVO_0081	
NC_013967.1	RefSeq	gene	82482	83189	CDS	-	HVO_RS05095	HVO_0082	
NC_013967.1	RefSeq	gene	83382	83753	CDS	-	HVO_RS05100	HVO_0083	
NC_013967.1	RefSeq	gene	83757	85127	CDS	-	HVO_RS05105	HVO_0084	
NC_013967.1	RefSeq	gene	85507	85866	CDS	-	HVO_RS05110	HVO_0085	
NC_013967.1	RefSeq	gene	85863	87281	CDS	-	HVO_RS05115	HVO_0086	
NC_013967.1	RefSeq	gene	87625	88608	CDS	-	HVO_RS05120	HVO_0087	
NC_013967.1	RefSeq	gene	89307	89471	CDS	-		HVO_0090	
NC_013967.1	RefSeq	gene	89547	90341	CDS	-	HVO_RS05130	HVO_0091	
NC_013967.1	RefSeq	gene	90474	90758	CDS	+	HVO_RS05135	HVO_0092	
NC_013967.1	RefSeq	gene	90921	91928	CDS	-	HVO_RS05140	HVO_0093	
NC_013967.1	RefSeq	gene	92064	92270	CDS	+		HVO_0094	
NC_013967.1	RefSeq	gene	92298	92993	CDS	-	HVO_RS05145	HVO_0095	
NC_013967.1	RefSeq	gene	93097	94029	CDS	-	HVO_RS05150	HVO_0096	
NC_013967.1	RefSeq	gene	94154	95038	CDS	-	HVO_RS05155	HVO_0097	
NC_013967.1	RefSeq	gene	95156	95359	CDS	+	HVO_RS05160	HVO_0098	
NC_013967.1	RefSeq	gene	95441	97351	CDS	+	HVO_RS05165	HVO_0099	
NC_013967.1	RefSeq	gene	97756	97950	CDS	+	HVO_RS05170	HVO_0099A	
NC_013967.1	RefSeq	gene	98087	99214	CDS	-	HVO_RS05175	HVO_0100	
NC_013967.1	RefSeq	gene	99292	99930	CDS	-	HVO_RS05180	HVO_0101	
NC_013967.1	RefSeq	gene	100055	100936	CDS	+	HVO_RS05185	HVO_0102	
NC_013967.1	RefSeq	gene	100943	101548	CDS	+	HVO_RS05190	HVO_0103	
NC_013967.1	RefSeq	gene	101807	102838	CDS	+	HVO_RS05195	HVO_0104	
NC_013967.1	RefSeq	gene	103089	104234	CDS	+	HVO_RS05200	HVO_0105	
NC_013967.1	RefSeq	gene	104245	104658	CDS	+	HVO_RS05205	HVO_0106	
NC_013967.1	RefSeq	gene	104705	105133	CDS	-	HVO_RS05210	HVO_0107	
NC_013967.1	RefSeq	gene	105206	105793	CDS	-	HVO_RS05215	HVO_0108	
NC_013967.1	RefSeq	gene	105867	107147	CDS	-	HVO_RS05220	HVO_0109	
NC_013967.1	RefSeq	gene	107327	108373	CDS	+	HVO_RS05225	HVO_0110	
NC_013967.1	RefSeq	gene	108419	108721	CDS	-	HVO_RS05230	HVO_0111	
NC_013967.1	RefSeq	gene	108722	109462	CDS	-	HVO_RS05235	HVO_0112	
NC_013967.1	RefSeq	gene	109554	110171	CDS	+	HVO_RS05240	HVO_0113	
NC_013967.1	RefSeq	gene	110198	110752	CDS	+	HVO_RS05245	HVO_0114	
NC_013967.1	RefSeq	gene	110903	111055	CDS	+	HVO_RS05250	HVO_0115	
NC_013967.1	RefSeq	gene	111059	111337	CDS	+	HVO_RS05255	HVO_0116	
NC_013967.1	RefSeq	gene	111341	112006	CDS	+	HVO_RS05260	HVO_0117	
NC_013967.1	RefSeq	gene	112088	112264	CDS	+	HVO_RS05265	HVO_0118	
NC_013967.1	RefSeq	gene	112264	112734	CDS	+	HVO_RS05270	HVO_0119	
NC_013967.1	RefSeq	gene	112767	114137	CDS	+	HVO_RS05275	HVO_0120	
NC_013967.1	RefSeq	gene	114180	114797	CDS	-	HVO_RS05280	HVO_0121	
NC_013967.1	RefSeq	gene	114831	115805	CDS	-	HVO_RS05285	HVO_0122	
NC_013967.1	RefSeq	gene	115896	117293	CDS	+	HVO_RS05290	HVO_0123	
NC_013967.1	RefSeq	gene	117403	117984	CDS	+	HVO_RS05295	HVO_0124	
NC_013967.1	RefSeq	gene	117985	118545	CDS	+	HVO_RS05300	HVO_0125	
NC_013967.1	RefSeq	gene	118620	119639	CDS	+	HVO_RS05305	HVO_0126	
NC_013967.1	RefSeq	gene	119674	120090	CDS	-	HVO_RS05310	HVO_0127	
NC_013967.1	RefSeq	gene	120093	120662	CDS	-	HVO_RS05315	HVO_0128	
NC_013967.1	RefSeq	gene	120802	121179	CDS	+	HVO_RS05320	HVO_0129	
NC_013967.1	RefSeq	gene	121710	121985	CDS	+	HVO_RS05330	HVO_0131	
NC_013967.1	RefSeq	gene	122368	122781	CDS	-	HVO_RS05340	HVO_0132	
NC_013967.1	RefSeq	gene	123087	124739	CDS	-	HVO_RS05345	HVO_0133	
NC_013967.1	RefSeq	gene	124992	125534	CDS	-	HVO_RS05350	HVO_0134	
NC_013967.1	RefSeq	gene	125628	126500	CDS	-	HVO_RS05355	HVO_0135	
NC_013967.1	RefSeq	gene	126602	126892	CDS	-	HVO_RS05360	HVO_0136	
NC_013967.1	RefSeq	gene	126998	127177	CDS	+	HVO_RS05365	HVO_0136A	
NC_013967.1	RefSeq	gene	127203	128030	CDS	-	HVO_RS05370	HVO_0137	
NC_013967.1	RefSeq	gene	128123	129109	CDS	-	HVO_RS05375	HVO_0138	
NC_013967.1	RefSeq	gene	129130	129504	CDS	+	HVO_RS05380	HVO_0139	
NC_013967.1	RefSeq	gene	129520	131589	CDS	-	HVO_RS05385	HVO_0140	
NC_013967.1	RefSeq	gene	131765	132754	CDS	+	HVO_RS05390	HVO_0141	
NC_013967.1	RefSeq	gene	132763	133107	CDS	+	HVO_RS05395	HVO_0142	
NC_013967.1	RefSeq	gene	133150	134028	CDS	-	HVO_RS05400	HVO_0143	
NC_013967.1	RefSeq	gene	134083	135036	CDS	-	HVO_RS05405	HVO_0144	
NC_013967.1	RefSeq	gene	135168	136193	CDS	+	HVO_RS05410	HVO_0145	
NC_013967.1	RefSeq	gene	136193	136798	CDS	+	HVO_RS05415	HVO_0146	
NC_013967.1	RefSeq	gene	137039	137458	CDS	+	HVO_RS05420	HVO_0147	
NC_013967.1	RefSeq	gene	137455	139161	CDS	+	HVO_RS05425	HVO_0148	
NC_013967.1	RefSeq	gene	139158	139553	CDS	+	HVO_RS05430	HVO_0149	
NC_013967.1	RefSeq	gene	139550	140173	CDS	+	HVO_RS05435	HVO_0150	
NC_013967.1	RefSeq	gene	140173	141072	CDS	+	HVO_RS05440	HVO_0151	
NC_013967.1	RefSeq	gene	141072	141731	CDS	+	HVO_RS05445	HVO_0152	
NC_013967.1	RefSeq	gene	141728	142417	CDS	+	HVO_RS05450	HVO_0153	
NC_013967.1	RefSeq	gene	142507	142956	CDS	+	HVO_RS05455	HVO_0154	
NC_013967.1	RefSeq	gene	142995	143201	CDS	-	HVO_RS05460	HVO_0155	
NC_013967.1	RefSeq	gene	143303	144259	CDS	-	HVO_RS05465	HVO_0156	
NC_013967.1	RefSeq	gene	144416	144727	CDS	+	HVO_RS05470	HVO_0157	
NC_013967.1	RefSeq	gene	144786	145355	CDS	+	HVO_RS05475	HVO_0158	
NC_013967.1	RefSeq	gene	145435	145812	CDS	+	HVO_RS05480	HVO_0159	
NC_013967.1	RefSeq	gene	145831	146799	CDS	+	HVO_RS05485	HVO_0160	
NC_013967.1	RefSeq	gene	146821	147666	CDS	-	HVO_RS05490	HVO_0161	
NC_013967.1	RefSeq	gene	147744	148844	CDS	+	HVO_RS05495	HVO_0162	
NC_013967.1	RefSeq	gene	148866	149378	CDS	-	HVO_RS05500	HVO_0163	
NC_013967.1	RefSeq	gene	149375	149722	CDS	-	HVO_RS05505	HVO_0164	
NC_013967.1	RefSeq	gene	149886	151178	CDS	+	HVO_RS05510	HVO_0165	
NC_013967.1	RefSeq	gene	151249	151560	CDS	-	HVO_RS05515	HVO_0166	
NC_013967.1	RefSeq	gene	151659	152945	CDS	+	HVO_RS05520	HVO_0167	
NC_013967.1	RefSeq	gene	153018	153350	CDS	-	HVO_RS05525	HVO_0168	
NC_013967.1	RefSeq	gene	153435	154259	CDS	+	HVO_RS05530	HVO_0169	
NC_013967.1	RefSeq	gene	154332	154754	CDS	+	HVO_RS05535	HVO_0170	
NC_013967.1	RefSeq	gene	154782	155429	CDS	-	HVO_RS05540	HVO_0171	
NC_013967.1	RefSeq	gene	155649	155852	CDS	+	HVO_RS05545	HVO_0172	
NC_013967.1	RefSeq	gene	155952	157052	CDS	-	HVO_RS05550	HVO_0173	
NC_013967.1	RefSeq	gene	157202	157795	CDS	+	HVO_RS05555	HVO_0174	
NC_013967.1	RefSeq	gene	157928	158671	CDS	-	HVO_RS05560	HVO_0175	
NC_013967.1	RefSeq	gene	159403	161649	CDS	-	HVO_RS05570	HVO_0176	
NC_013967.1	RefSeq	gene	158945	159406	CDS	+	HVO_RS05565	HVO_0177	
NC_013967.1	RefSeq	gene	162031	162816	CDS	+	HVO_RS05575	HVO_0179	
NC_013967.1	RefSeq	gene	162982	163761	CDS	+	HVO_RS05580	HVO_0180	
NC_013967.1	RefSeq	gene	163911	164312	CDS	+	HVO_RS05585	HVO_0181	
NC_013967.1	RefSeq	gene	164618	165337	CDS	-	HVO_RS05590	HVO_0183	
NC_013967.1	RefSeq	gene	165330	165506	CDS	-	HVO_RS05595	HVO_0184	
NC_013967.1	RefSeq	gene	165626	167782	CDS	-	HVO_RS05600	HVO_0185	
NC_013967.1	RefSeq	gene	167913	169238	CDS	+	HVO_RS05605	HVO_0186	
NC_013967.1	RefSeq	gene	169351	169671	CDS	+	HVO_RS05610	HVO_0187	
NC_013967.1	RefSeq	gene	169702	170184	CDS	-	HVO_RS05615	HVO_0188	
NC_013967.1	RefSeq	gene	170259	170897	CDS	+	HVO_RS05620	HVO_0189	
NC_013967.1	RefSeq	gene	170943	171839	CDS	-	HVO_RS05625	HVO_0190	
NC_013967.1	RefSeq	gene	172017	174011	CDS	+	HVO_RS05630	HVO_0191	
NC_013967.1	RefSeq	gene	174329	174736	CDS	-	HVO_RS05640	HVO_0192	
NC_013967.1	RefSeq	gene	174066	174335	CDS	+	HVO_RS05635	HVO_0193	
NC_013967.1	RefSeq	gene	174892	176016	CDS	+	HVO_RS05645	HVO_0194	
NC_013967.1	RefSeq	gene	176077	176769	CDS	+	HVO_RS05650	HVO_0195	
NC_013967.1	RefSeq	gene	176934	177101	CDS	-	HVO_RS05655	HVO_0196	
NC_013967.1	RefSeq	gene	177286	178047	CDS	+	HVO_RS05660	HVO_0197	
NC_013967.1	RefSeq	gene	178195	178344	CDS	+		HVO_0197A	
NC_013967.1	RefSeq	gene	178439	178678	CDS	+	HVO_RS05665	HVO_0198	
NC_013967.1	RefSeq	gene	178741	180114	CDS	+	HVO_RS05670	HVO_0199	
NC_013967.1	RefSeq	gene	180124	180504	CDS	-	HVO_RS05675	HVO_0200	
NC_013967.1	RefSeq	gene	180588	180998	CDS	-	HVO_RS05680	HVO_0201	
NC_013967.1	RefSeq	gene	181007	181207	CDS	-	HVO_RS05685	HVO_0202	
NC_013967.1	RefSeq	gene	181313	182296	CDS	+	HVO_RS05690	HVO_0203	
NC_013967.1	RefSeq	gene	182364	184730	CDS	-	HVO_RS05695	HVO_0204	
NC_013967.1	RefSeq	gene	184851	185336	CDS	-	HVO_RS05700	HVO_0205	
NC_013967.1	RefSeq	gene	185459	188227	CDS	+	HVO_RS05705	HVO_0206	
NC_013967.1	RefSeq	gene	188332	189108	CDS	+	HVO_RS05710	HVO_0207	
NC_013967.1	RefSeq	gene	189223	189936	CDS	+	HVO_RS05715	HVO_0208	
NC_013967.1	RefSeq	gene	190112	191275	CDS	+	HVO_RS05720	HVO_0209	
NC_013967.1	RefSeq	gene	191384	191674	CDS	+	HVO_RS05725	HVO_0210	
NC_013967.1	RefSeq	gene	191877	192200	CDS	+	HVO_RS05730	HVO_0211	
NC_013967.1	RefSeq	gene	192245	192619	CDS	+	HVO_RS05735	HVO_0212	
NC_013967.1	RefSeq	gene	192742	193194	CDS	+	HVO_RS05740	HVO_0213	
NC_013967.1	RefSeq	gene	193386	194348	CDS	+	HVO_RS05745	HVO_0214	
NC_013967.1	RefSeq	gene	194367	196481	CDS	-	HVO_RS05750	HVO_0215	
NC_013967.1	RefSeq	gene	196563	197267	CDS	-	HVO_RS05755	HVO_0216	
NC_013967.1	RefSeq	gene	197261	197962	CDS	-	HVO_RS05760	HVO_0217	
NC_013967.1	RefSeq	gene	197963	198541	CDS	-	HVO_RS05765	HVO_0218	
NC_013967.1	RefSeq	gene	198709	199314	CDS	+	HVO_RS05770	HVO_0219	
NC_013967.1	RefSeq	gene	199368	201476	CDS	+	HVO_RS05775	HVO_0220	
NC_013967.1	RefSeq	gene	201577	201879	CDS	+	HVO_RS05780	HVO_0221	
NC_013967.1	RefSeq	gene	202030	202368	CDS	+	HVO_RS05785	HVO_0222	
NC_013967.1	RefSeq	gene	202365	203306	CDS	+	HVO_RS05790	HVO_0223	
NC_013967.1	RefSeq	gene	203358	204212	CDS	+	HVO_RS05795	HVO_0224	
NC_013967.1	RefSeq	gene	204209	204871	CDS	+	HVO_RS05800	HVO_0225	
NC_013967.1	RefSeq	gene	204965	205831	CDS	-	HVO_RS05805	HVO_0226	
NC_013967.1	RefSeq	gene	205994	206515	CDS	+	HVO_RS05810	HVO_0227	
NC_013967.1	RefSeq	gene	206630	207373	CDS	-	HVO_RS05815	HVO_0228	
NC_013967.1	RefSeq	gene	207442	208257	CDS	-	HVO_RS05820	HVO_0229	
NC_013967.1	RefSeq	gene	208346	208762	CDS	-	HVO_RS05825	HVO_0230	
NC_013967.1	RefSeq	gene	209051	209686	CDS	-	HVO_RS05830	HVO_0231	
NC_013967.1	RefSeq	gene	209687	209917	CDS	-	HVO_RS05835	HVO_0232	
NC_013967.1	RefSeq	gene	209972	210823	CDS	-	HVO_RS05840	HVO_0233	
NC_013967.1	RefSeq	gene	210884	211711	CDS	-	HVO_RS05845	HVO_0234	
NC_013967.1	RefSeq	gene	211808	212152	CDS	-	HVO_RS05850	HVO_0235	
NC_013967.1	RefSeq	gene	212299	213429	CDS	+	HVO_RS05855	HVO_0236	
NC_013967.1	RefSeq	gene	213507	214844	CDS	+	HVO_RS05860	HVO_0237	
NC_013967.1	RefSeq	gene	214846	215811	CDS	+	HVO_RS05865	HVO_0238	
NC_013967.1	RefSeq	gene	215944	217314	CDS	-	HVO_RS05870	HVO_0239	
NC_013967.1	RefSeq	gene	217441	217899	CDS	+	HVO_RS05875	HVO_0240	
NC_013967.1	RefSeq	gene	217905	218021	CDS	-		HVO_0241	
NC_013967.1	RefSeq	gene	218337	219419	CDS	-	HVO_RS05880	HVO_0242	
NC_013967.1	RefSeq	gene	219536	220561	CDS	+	HVO_RS05885	HVO_0243	
NC_013967.1	RefSeq	gene	220622	221566	CDS	-	HVO_RS05890	HVO_0244	
NC_013967.1	RefSeq	gene	221699	222217	CDS	+	HVO_RS05895	HVO_0245	
NC_013967.1	RefSeq	gene	222424	223386	CDS	-	HVO_RS05900	HVO_0246	
NC_013967.1	RefSeq	gene	223483	223650	CDS	+		HVO_0247	
NC_013967.1	RefSeq	gene	223693	224892	CDS	+	HVO_RS05905	HVO_0248	
NC_013967.1	RefSeq	gene	224889	225164	CDS	+	HVO_RS05910	HVO_0249	
NC_013967.1	RefSeq	gene	225232	226647	CDS	-	HVO_RS05915	HVO_0250	
NC_013967.1	RefSeq	gene	226809	227072	CDS	+	HVO_RS05920	HVO_0251	
NC_013967.1	RefSeq	gene	227072	227578	CDS	+	HVO_RS05925	HVO_0252	
NC_013967.1	RefSeq	gene	227672	228271	CDS	+	HVO_RS05930	HVO_0253	
NC_013967.1	RefSeq	gene	228343	229032	CDS	-	HVO_RS05935	HVO_0254	
NC_013967.1	RefSeq	gene	229170	230783	CDS	+	HVO_RS05940	HVO_0255	
NC_013967.1	RefSeq	gene	230787	231071	CDS	+	HVO_RS05945	HVO_0256	
NC_013967.1	RefSeq	gene	231140	231331	CDS	-	HVO_RS05950	HVO_0257	
NC_013967.1	RefSeq	gene	231538	232569	CDS	-	HVO_RS05955	HVO_0258	
NC_013967.1	RefSeq	gene	233436	233702	CDS	+	HVO_RS05965	HVO_0260	
NC_013967.1	RefSeq	gene	233714	234040	CDS	+	HVO_RS05970	HVO_0261	
NC_013967.1	RefSeq	gene	234157	234963	CDS	+	HVO_RS20100	HVO_0262	
NC_013967.1	RefSeq	gene	235110	236276	CDS	-	HVO_RS05975	HVO_0263	
NC_013967.1	RefSeq	gene	236612	236932	CDS	+	HVO_RS05980	HVO_0264	
NC_013967.1	RefSeq	gene	236934	237194	CDS	-	HVO_RS05985	HVO_0264A	
NC_013967.1	RefSeq	gene	237481	237741	CDS	+	HVO_RS05990	HVO_0265	
NC_013967.1	RefSeq	gene	237743	237988	CDS	+	HVO_RS05995	HVO_0266	
NC_013967.1	RefSeq	gene	237992	238198	CDS	-	HVO_RS20105	HVO_0267	
NC_013967.1	RefSeq	gene	238338	238736	CDS	+	HVO_RS06000	HVO_0268	
NC_013967.1	RefSeq	gene	238733	238948	CDS	+	HVO_RS06005	HVO_0269	
NC_013967.1	RefSeq	gene	238945	239475	CDS	+	HVO_RS06010	HVO_0270	
NC_013967.1	RefSeq	gene	239482	241095	CDS	+	HVO_RS06015	HVO_0271	
NC_013967.1	RefSeq	gene	241129	241704	CDS	+	HVO_RS06020	HVO_0272	
NC_013967.1	RefSeq	gene	241698	242492	CDS	+	HVO_RS06025	HVO_0273	
NC_013967.1	RefSeq	gene	242489	243640	CDS	+	HVO_RS06030	HVO_0274	
NC_013967.1	RefSeq	gene	243876	245228	CDS	+	HVO_RS06035	HVO_0275	
NC_013967.1	RefSeq	gene	245331	246683	CDS	+	HVO_RS06040	HVO_0276	
NC_013967.1	RefSeq	gene	248186	249184	CDS	+	HVO_RS06050	HVO_0278	
NC_013967.1	RefSeq	gene	249749	251479	CDS	-	HVO_RS06055	HVO_0279	
NC_013967.1	RefSeq	gene	251603	251728	CDS	-		HVO_0280	
NC_013967.1	RefSeq	gene	251728	251964	CDS	-	HVO_RS20110	HVO_0280A	
