operon_no.	single/multi	strand	start_gene	last_gene	operon_left_cord	operon_right_cord	locus_tag	gene/RNA_type	name_gene	kegg_nomenclature	start_position	last_position	first_gene/in_operon	form	leaderless?	changed
1		+			499	12246	MSMEG_0001				499	1692		1	N	
1		+			499	12246	MSMEG_0002				1721	2614		1	N	
1		+			499	12246	MSMEG_0003				2624	3778		1	N	
1		+			499	12246	MSMEG_0004				3775	4359		1	N	
1		+			499	12246	MSMEG_0005				4591	6618		1	N	
1		+			499	12246	MSMEG_0006				6648	9176		1	N	
1		+			499	12246	MSMEG_0007				9229	10011		1	N	
1		+			499	12246	MSMEG_0011				10411	11211		1	N	
1		+			499	12246	MSMEG_0012				11215	12246		1	N	
2		+			15256	41623	MSMEG_0016				15256	15522		1	N	
2		+			15256	41623	MSMEG_0017				15525	17252		1	N	
2		+			15256	41623	MSMEG_0018				17249	19018		1	N	
2		+			15256	41623	MSMEG_0019				19052	41623		1	N	
3		-			44692	46701	MSMEG_0023				45102	44692		1	N	
3		-			44692	46701	MSMEG_0025				46261	45854		1	N	
3		-			44692	46701	MSMEG_0026				46701	46417		1	N	
5		+			46797	48238	MSMEG_0027				46797	47546		1	N	
5		+			46797	48238	MSMEG_0029				47564	48238		1	Y	
6		-			48216	59824	MSMEG_0028				50093	48216		1	N	
6		-			48216	59824	MSMEG_0030				51349	50090		1	N	
6		-			48216	59824	MSMEG_0031				52856	51381		1	N	
6		-			48216	59824	MSMEG_0032				54268	52853		1	N	
6		-			48216	59824	MSMEG_0033				55803	54265		1	N	
6		-			48216	59824	MSMEG_0034				56293	55826		1	N	
6		-			48216	59824	MSMEG_0035				57892	56429		1	N	
6		-			48216	59824	MSMEG_0039				59029	58655		1	N	
6		-			48216	59824	MSMEG_0040				59346	59041		1	N	
6		-			48216	59824	MSMEG_0041				59824	59348		1	N	
7		+			61470	67167	MSMEG_0044				61470	63548		1	N	
7		+			61470	67167	MSMEG_0045				63545	66013		1	N	
7		+			61470	67167	MSMEG_0046				66010	67167		1	N	
8		+			69779	71690	MSMEG_0050				69779	70045		1	N	
8		+			69779	71690	MSMEG_0052				70911	71690		1	N	
9		+			76535	90691	MSMEG_0057				76535	77383		1	N	
9		+			76535	90691	MSMEG_0058				77398	77925		1	N	
9		+			76535	90691	MSMEG_0059				77918	79642		1	N	
9		+			76535	90691	MSMEG_0060				79650	81089		1	N	
9		+			76535	90691	MSMEG_0061				81089	83317		1	N	
9		+			76535	90691	MSMEG_0062				83318	85099		1	N	
9		+			76535	90691	MSMEG_0063				85248	85541		1	N	
9		+			76535	90691	MSMEG_0064				85616	86911		1	N	
9		+			76535	90691	MSMEG_0065				86997	87299		1	N	
9		+			76535	90691	MSMEG_0066				87331	87618		1	N	
9		+			76535	90691	MSMEG_0067				87738	89162		1	N	
9		+			76535	90691	MSMEG_0068				89159	90691		1	N	
10		-			103713	111593	MSMEG_0080				104243	103713		1	N	
10		-			103713	111593	MSMEG_0081				104583	104251		1	N	
10		-			103713	111593	MSMEG_0082				105988	104594		1	N	
10		-			103713	111593	MSMEG_0083				107334	105985		1	N	
10		-			103713	111593	MSMEG_0084				107822	107565		1	N	
10		-			103713	111593	MSMEG_0085				109849	107834		1	N	
10		-			103713	111593	MSMEG_0086				110829	109846		1	N	
10		-			103713	111593	MSMEG_0087				111593	110826		1	N	
11		+			111735	114407	MSMEG_0088				111735	113369		1	N	
11		+			111735	114407	MSMEG_0089				113433	114407		1	N	
12		-			114447	117193	MSMEG_0090				116594	114447		1	N	
12		-			114447	117193	MSMEG_0091				117184	116600		1	Y (1 nt leader)	
13		+			117306	123314	MSMEG_0092				117306	117941		1	Y	
13		+			117306	123314	MSMEG_0093				118003	118965		1	Y (1 nt leader)	
13		+			117306	123314	MSMEG_0095				118962	119897		1	N	
13		+			117306	123314	MSMEG_0096				120261	121115		1	N	
