#operonID	geneID	start	end	strand	length	product
CHR0	HVO_0013	11897	12391	-	494	KEOPS complex subunit Cgi121
CHR0	HVO_0014	12388	14871	-	2483	ATP-dependent DNA helicase Hel308a
CHR1	HVO_0021	19512	21233	-	1721	ABC-type transport system permease protein (probable substrate thiamine)
CHR1	HVO_0022	21243	22379	-	1136	ABC-type transport system periplasmic substrate-binding protein (probable substrate thiamine)
CHR2	HVO_0029	28190	30286	+	2096	UvrABC system protein B
CHR2	HVO_0030	30293	30712	+	419	NUDIX family hydrolase
CHR3	HVO_0031	30936	31106	+	170	conserved hypothetical protein
CHR3	HVO_0032	31121	32206	+	1085	DUF81 family protein
CHR4	HVO_0042	41076	42221	-	1145	acetylornithine deacetylase
CHR4	HVO_0043	42218	43354	-	1136	acetylornithine aminotransferase
CHR4	HVO_0044	43351	44334	-	983	acetylglutamate kinase
CHR5	HVO_0045	44389	45432	-	1043	N-acetyl-gamma-glutamyl-phosphate reductase
CHR5	HVO_0046	45429	46304	-	875	probable glutamate--argW ligase
CHR5	HVO_0047	46306	46485	-	179	probable biosynthetic carrier protein ArgW
CHR6	HVO_0048	46806	48272	-	1466	argininosuccinate lyase
CHR6	HVO_0049	48274	49491	-	1217	argininosuccinate synthase
CHR7	HVO_0051	49976	51190	-	1214	Kef-type transport system (probable substrate potassium)
CHR7	HVO_0052	51190	51675	-	485	TrkA-C domain protein
CHR8	HVO_0053	51719	52321	-	602	conserved hypothetical protein
CHR8	HVO_0054	52328	54112	-	1784	glycine--tRNA ligase
CHR8	HVO_0055	54105	54959	-	854	CBS domain protein
CHR9	HVO_0057	55732	56178	-	446	conserved hypothetical protein
CHR9	HVO_0058	56181	57515	-	1334	ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)
CHR9	HVO_0059	57512	58591	-	1079	ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)
CHR9	HVO_0060	58588	60027	-	1439	ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)
CHR9	HVO_0061	60034	61083	-	1049	ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)
CHR10	HVO_0064	63622	64041	+	419	DUF296 family protein
CHR10	HVO_0065	64044	67652	+	3608	DNA-directed DNA polymerase D large subunit
CHR11	HVO_0075	76230	77447	-	1217	major facilitator superfamily transport protein
CHR11	HVO_0076	77449	78192	-	743	uroporphyrinogen-III synthase
CHR11	HVO_0077	78189	79070	-	881	uroporphyrin-III C-methyltransferase
CHR11	HVO_0078	79072	80163	-	1091	hydroxymethylbilane synthase (porphobilinogen deaminase)
CHR12	HVO_0083	83382	83753	-	371	GlnK-type ammonia transport regulator
CHR12	HVO_0084	83757	85127	-	1370	transport protein (probable substrate ammonium)
CHR13	HVO_0085	85507	85866	-	359	GlnK-type ammonia transport regulator
CHR13	HVO_0086	85863	87266	-	1403	transport protein (probable substrate ammonium)
CHR14	HVO_0088	88714	89034	+	320	conserved hypothetical protein (nonfunctional)
CHR14	HVO_0088_A	89035	89226	+	191	conserved hypothetical protein (nonfunctional)
CHR14	HVO_0089	89035	89226	+	191	conserved hypothetical protein (nonfunctional)
CHR15	HVO_0102	100055	100936	+	881	HtpX-like protease
CHR15	HVO_0103	100943	101548	+	605	conserved hypothetical protein
CHR16	HVO_0105	103089	104234	+	1145	FAD-dependent oxidoreductase
CHR16	HVO_0106	104245	104658	+	413	DUF1641 family protein
CHR17	HVO_0111	108419	108721	-	302	DUF424 family protein
CHR17	HVO_0112	108722	109462	-	740	tetratricopeptide repeat protein
CHR18	HVO_0113	109554	110171	+	617	probable phosphatase (histidine phosphatase family protein)
CHR18	HVO_0114	110198	110752	+	554	RNA 2'%2C3'-cyclic phosphodiesterase
CHR19	HVO_0115	110903	111055	+	152	50S ribosomal protein L39e
CHR19	HVO_0116	111059	111337	+	278	50S ribosomal protein L31e
CHR19	HVO_0117	111341	112006	+	665	translation initiation factor aIF-6
CHR20	HVO_0118	112088	112264	+	176	50S ribosomal protein L20e
CHR20	HVO_0119	112261	112734	+	473	prefoldin alpha subunit
CHR20	HVO_0120	112767	114137	+	1370	signal recognition particle receptor FtsY
CHR21	HVO_0121	114180	114797	-	617	LysE family transport protein
CHR21	HVO_0122	114831	115805	-	974	probable D-2-hydroxyacid dehydrogenase
CHR22	HVO_0124	117403	117984	+	581	MgtE family transport protein (probable substrate magnesium)
CHR22	HVO_0125	117985	118545	+	560	MgtE family transport protein (probable substrate magnesium)
CHR23	HVO_0127	119674	120090	-	416	UPF0201 family protein
CHR23	HVO_0128	120093	120662	-	569	probable dephospho-CoA kinase
CHR24	HVO_0131	121710	121985	+	275	conserved hypothetical protein
CHR24	HVO_0131_A	121996	122181	+	185	conserved hypothetical protein (nonfunctional)
CHR25	HVO_0141	131762	132754	+	992	stomatin family protein
CHR25	HVO_0142	132763	133107	+	344	conserved hypothetical protein
CHR26	HVO_0145	135168	136193	+	1025	replication factor C small subunit
CHR26	HVO_0146	136193	136798	+	605	homolog to phosphatidylserine decarboxylase
CHR27	HVO_0147	137039	137458	+	419	urease beta subunit
CHR27	HVO_0148	137455	139161	+	1706	urease alpha subunit
CHR27	HVO_0149	139158	139553	+	395	urease gamma subunit
CHR27	HVO_0150	139550	140173	+	623	urease accessory protein UreG
CHR27	HVO_0151	140173	141072	+	899	urease accessory protein UreD
CHR27	HVO_0152	141072	141731	+	659	urease accessory protein UreE
CHR27	HVO_0153	141728	142417	+	689	urease accessory protein UreF
CHR28	HVO_0163	148866	149378	-	512	ArsR family transcription regulator
CHR28	HVO_0164	149375	149722	-	347	conserved hypothetical protein
CHR29	HVO_0183	164618	165337	-	719	DUF165 family protein
CHR29	HVO_0184	165330	165506	-	176	CopG domain protein
CHR30	HVO_0201	180588	180998	-	410	GNAT family acetyltransferase
CHR30	HVO_0202	181007	181207	-	200	ubiquitin-like modifier protein SAMP2
CHR31	HVO_0216	196563	197267	-	704	ABC-type transport system permease protein (probable substrate biotin)
CHR31	HVO_0217	197261	197962	-	701	ABC-type transport system ATP-binding protein (probable substrate biotin)
CHR31	HVO_0218	197963	198541	-	578	biotin transport protein BioY
CHR32	HVO_0222	202030	202368	+	338	conserved hypothetical protein
CHR32	HVO_0223	202365	203306	+	941	conserved hypothetical protein
CHR33	HVO_0224	203358	204212	+	854	conserved hypothetical protein
CHR33	HVO_0225	204209	204871	+	662	MinD/ParA domain protein
CHR34	HVO_0231	209051	209686	-	635	uracil-DNA glycosylase
CHR34	HVO_0232	209687	209917	-	230	conserved hypothetical protein
CHR35	HVO_0237	213507	214844	+	1337	UPF0761 family protein
CHR35	HVO_0238	214846	215811	+	965	probable PAP2-type phosphatase
CHR36	HVO_0248	223693	224892	+	1199	transport protein (probable substrate phosphate/sulfate)
CHR36	HVO_0249	224889	225164	+	275	conserved hypothetical protein
CHR37	HVO_0251	226809	227072	+	263	glutaredoxin
CHR37	HVO_0252	227072	227578	+	506	homolog to peroxiredoxin
CHR38	HVO_0255	229170	230783	+	1613	spermine/spermidine synthase family protein
CHR38	HVO_0256	230787	231071	+	284	conserved hypothetical protein
CHR39	HVO_0258	231538	232569	-	1031	XerC/D-like integrase
CHR39	HVO_0259	232566	232742	-	176	hypothetical protein
CHR40	HVO_0260	233415	233702	+	287	homolog to phage PhiH1 repressor protein
CHR40	HVO_0261	233714	234040	+	326	homolog to phage PhiH1 repressor protein
CHR41	HVO_0265	237481	237741	+	260	conserved hypothetical protein
CHR41	HVO_0266	237743	237988	+	245	UPF0395 family protein
CHR42	HVO_0268	238338	238736	+	398	homolog to virus structural protein HGPV1-VP2
CHR42	HVO_0269	238733	238948	+	215	homolog to virus structural protein HGPV1-VP3
CHR42	HVO_0270	238945	239475	+	530	conserved hypothetical protein
CHR42	HVO_0271	239482	241095	+	1613	homolog to virus structural protein HRPV1-VP4
CHR42	HVO_0272	241129	241704	+	575	homolog to HGPV1-ORF5
CHR42	HVO_0273	241698	242492	+	794	homolog to HGPV1-ORF6
CHR42	HVO_0274	242489	243640	+	1151	homolog to virus protein HRPV1-VP8
CHR43	HVO_0276	245331	246683	+	1352	ISH5-type transposase ISHvo11
CHR43	HVO_0276_A	246714	247094	+	380	homolog to HGPV1-ORF9
CHR44	HVO_0280	251621	251728	-	107	conserved hypothetical protein (nonfunctional)
CHR44	HVO_0280_A	251728	251961	-	233	small CPxCG-related zinc finger protein
CHR45	HVO_0291	260600	261190	-	590	rpa-associated protein
CHR45	HVO_0292	261191	262126	-	935	replication protein A
CHR46	HVO_0304	272558	273511	-	953	electron transfer flavoprotein alpha subunit
CHR46	HVO_0305	273508	274305	-	797	electron transfer flavoprotein beta subunit
CHR47	HVO_0307	275700	277091	+	1391	conserved hypothetical protein
CHR47	HVO_0308	277131	277613	+	482	DUF1628 domain protein
CHR48	HVO_0310	278458	278790	+	332	A-type ATP synthase subunit H
CHR48	HVO_0311	278777	280978	+	2201	A-type ATP synthase subunit I
CHR49	HVO_0312	281153	281410	+	257	A-type ATP synthase subunit K
CHR49	HVO_0313	281432	282016	+	584	A-type ATP synthase subunit E
CHR49	HVO_0314	282013	283059	+	1046	A-type ATP synthase subunit C
CHR49	HVO_0315	283056	283376	+	320	A-type ATP synthase subunit F
CHR49	HVO_0316	283383	285143	+	1760	A-type ATP synthase subunit A
CHR49	HVO_0317	285148	286554	+	1406	A-type ATP synthase subunit B
CHR50	HVO_0322	291490	293214	+	1724	MinD/ParA domain protein
CHR50	HVO_0323	293254	293391	+	137	conserved hypothetical protein
CHR51	HVO_0326	296025	296738	+	713	riboflavin kinase%2C CTP-dependent
CHR51	HVO_0327	296735	297424	+	689	3%2C4-dihydroxy-2-butanone 4-phosphate synthase
CHR52	HVO_0336	304760	304852	+	92	conserved hypothetical protein (nonfunctional)
CHR52	HVO_0336_A	304852	306147	+	1295	conserved hypothetical protein (nonfunctional)
CHR53	HVO_0341	309492	310541	+	1049	DUF87 domain protein
CHR53	HVO_0342	310562	310897	+	335	putative fluoride ion transport protein CrcB
CHR53	HVO_0343	310894	311250	+	356	putative fluoride ion transport protein CrcB
CHR437	HVO_0344	311653	311725	-	72	NA
CHR437	HVO_0345	311755	311827	-	72	NA
CHR54	HVO_0346	312095	312322	+	227	DNA-directed RNA polymerase subunit H
CHR54	HVO_0347	312319	313884	+	1565	DNA-directed RNA polymerase subunit B''
CHR54	HVO_0348	313886	315715	+	1829	DNA-directed RNA polymerase subunit B'
CHR54	HVO_0349	315722	318652	+	2930	DNA-directed RNA polymerase subunit A'
CHR54	HVO_0350	318645	319904	+	1259	DNA-directed RNA polymerase subunit A''
CHR54	HVO_0351	319907	320326	+	419	transcription elongation factor NusA
CHR55	HVO_0353	321385	321813	+	428	30S ribosomal protein S12
CHR55	HVO_0354	321816	322430	+	614	30S ribosomal protein S7
CHR56	HVO_0357	325966	326535	+	569	ACT domain protein
CHR56	HVO_0358	326532	327485	+	953	homoserine dehydrogenase
CHR57	HVO_0359	327676	328941	+	1265	translation elongation factor aEF-1 alpha subunit
CHR57	HVO_0360	328944	329252	+	308	30S ribosomal protein S10a
CHR58	HVO_0365	331222	331422	-	200	conserved hypothetical protein
CHR58	HVO_0366	331415	331801	-	386	conserved hypothetical protein
CHR58	HVO_0367	331803	332225	-	422	conserved hypothetical protein
CHR58	HVO_0368	332222	332788	-	566	conserved hypothetical protein
CHR58	HVO_0369	332788	332943	-	155	hypothetical protein
CHR58	HVO_0370	332943	333431	-	488	hypothetical protein
CHR58	HVO_0371	333431	333871	-	440	conserved hypothetical protein
CHR58	HVO_0372	333882	334388	-	506	conserved hypothetical protein
CHR58	HVO_0373	334392	334589	-	197	conserved hypothetical protein
CHR59	HVO_0374	334719	334901	+	182	conserved hypothetical protein
CHR59	HVO_0375	334898	335359	+	461	small CPxCG-related zinc finger protein
CHR59	HVO_0376	335352	335792	+	440	conserved hypothetical protein
CHR59	HVO_0377	335789	336409	+	620	conserved hypothetical protein
CHR59	HVO_0378	336406	336630	+	224	conserved hypothetical protein
CHR60	HVO_0379_A	338106	338621	-	515	conserved hypothetical protein
CHR60	HVO_0379_B	338611	339210	-	599	hypothetical protein
CHR61	HVO_0382	340199	340432	+	233	conserved hypothetical protein
CHR61	HVO_0383	340429	340620	+	191	HTH domain protein
CHR61	HVO_0384	340617	340787	+	170	conserved hypothetical protein
CHR61	HVO_0385	340784	341785	+	1001	XerC/D-like integrase
CHR62	HVO_0406	361646	363052	-	1406	RNA-binding protein AU-1
CHR62	HVO_0407	363049	363423	-	374	conserved hypothetical protein
CHR63	HVO_0410_A	365370	365735	+	365	DUF502 family protein (nonfunctional)
CHR63	HVO_0410_B	365725	365955	+	230	DUF502 family protein (nonfunctional)
CHR64	HVO_0412	366622	367695	-	1073	transport protein (probable substrate arsenite/antimonite) (nonfunctional)
CHR64	HVO_0412_A	365957	366628	-	671	transport protein (probable substrate arsenite/antimonite) (nonfunctional)
CHR65	HVO_0414	368086	369234	-	1148	peptidase M24 family protein
CHR65	HVO_0415	369241	371091	-	1850	repair helicase UvrD
CHR66	HVO_0423	380247	380561	+	314	conserved hypothetical protein
CHR66	HVO_0424	380564	382378	+	1814	ABC-type transport system ATP-binding protein
CHR67	HVO_0427	384018	385076	-	1058	RNA 3'-terminal phosphate cyclase
