Type	Start	Stop	Gene	Strand	Size (aa)
Annotated	5936	6745	HVO_RS04730	-	270
Annotated	6854	7282	HVO_RS04735	-	143
Annotated	7470	8648	HVO_RS04740	+	393
Annotated	8873	10219	HVO_RS04745	+	449
Annotated	10248	10907	HVO_RS04750	-	220
Annotated	10956	11528	HVO_RS04755	-	191
Annotated	14980	15225	HVO_RS04775	+	82
Annotated	15479	16336	HVO_RS04780	+	286
Annotated	16358	16936	HVO_RS04785	-	193
Annotated	17615	18295	HVO_RS04795	+	227
Annotated	23410	24186	HVO_RS04820	-	259
Annotated	24438	25298	HVO_RS04825	+	287
Annotated	26974	27573	HVO_RS04835	+	200
Annotated	27832	28101	HVO_RS04840	-	90
Annotated	32276	32716	HVO_RS04860	+	147
Annotated	32744	33238	HVO_RS04865	-	165
Annotated	33689	34879	HVO_RS04870	-	397
Annotated	34980	35174	HVO_RS04875	+	65
Annotated	40093	40992	HVO_RS04900	-	300
Annotated	43351	44334	HVO_RS04915	-	328
Annotated	46306	46485	HVO_RS04930	-	60
Annotated	48274	49491	HVO_RS04940	-	406
Annotated	51190	51675	HVO_RS04950	-	162
Annotated	52328	54112	HVO_RS04960	-	595
Annotated	54105	54959	HVO_RS04965	-	285
Annotated	60034	61083	HVO_RS04995	-	350
Annotated	61296	63134	HVO_RS05000	-	613
Annotated	63622	64041	HVO_RS05005	+	140
Annotated	69249	69536	HVO_RS05020	+	96
Annotated	70535	72082	HVO_RS05030	-	516
Annotated	72161	72538	HVO_RS05035	-	126
Annotated	72583	72900	HVO_RS05040	-	106
Annotated	79072	80163	HVO_RS05075	-	364
Annotated	83382	83753	HVO_RS05100	-	124
Annotated	87625	88608	HVO_RS05120	-	328
Annotated	89547	90341	HVO_RS05130	-	265
Annotated	90474	90758	HVO_RS05135	+	95
Annotated	90921	91928	HVO_RS05140	-	336
Annotated	92298	92993	HVO_RS05145	-	232
Annotated	93097	94029	HVO_RS05150	-	311
Annotated	94154	95038	HVO_RS05155	-	295
Annotated	95156	95359	HVO_RS05160	+	68
Annotated	95441	97351	HVO_RS05165	+	637
Annotated	97756	97950	HVO_RS05170	+	65
Annotated	98087	99214	HVO_RS05175	-	376
Annotated	100055	100936	HVO_RS05185	+	294
Annotated	100943	101548	HVO_RS05190	+	202
Annotated	101807	102838	HVO_RS05195	+	344
Annotated	103089	104234	HVO_RS05200	+	382
Annotated	104245	104658	HVO_RS05205	+	138
Annotated	104705	105133	HVO_RS05210	-	143
Annotated	105867	107147	HVO_RS05220	-	427
Annotated	108722	109462	HVO_RS05235	-	247
Annotated	110903	111055	HVO_RS05250	+	51
Annotated	111059	111337	HVO_RS05255	+	93
