operon_no.	start_gene	last_gene	start_position	last_position	strand	in_operon	changed
5	CCNA_00009	CCNA_00009	7170	7790	-	n	0
8	CCNA_00014	CCNA_00018	17018	19784	-	y	0
11	CCNA_00021	CCNA_00022	20840	23559	-	y	0
13	CCNA_00025	CCNA_00026	24991	29403	-	y	0
17	CCNA_00033	CCNA_00036	35824	39879	-	y	0
23	CCNA_00056	CCNA_00058	58654	60386	-	y	0
23.1	CCNA_00055	CCNA_00055	58201	58608	-	n	0
24	CCNA_00059	CCNA_00059	60534	61121	-	n	0
28	CCNA_00063	CCNA_00063	64529	66091	-	n	0
29	CCNA_00064	CCNA_00064	66331	68127	-	n	0
32	CCNA_00074	CCNA_00075	76477	79908	-	y	0
36	CCNA_00082	CCNA_00082	85222	86880	-	n	0
37	CCNA_00083	CCNA_00083	87043	88683	-	n	0
40	CCNA_00087	CCNA_00087	96628	97737	-	n	0
42	CCNA_00089	CCNA_00089	99466	101895	-	n	0
43	CCNA_00090	CCNA_00090	101960	102943	-	n	0
45	CCNA_00093	CCNA_00093	105028	105237	-	n	0
49	CCNA_00101	CCNA_00101	111745	113034	-	n	0
65.1	CCNA_00124	CCNA_00125	134826	136177	-	y	0
67	CCNA_00128	CCNA_00128	137246	138472	-	n	0
82	CCNA_00151	CCNA_00151	160464	161180	-	n	0
84	CCNA_00154	CCNA_00154	162975	163235	-	n	0
97	CCNA_00183	CCNA_00185	196250	199810	-	y	0
98	CCNA_00186	CCNA_00188	200286	203725	-	y	0
101	CCNA_00193	CCNA_00194	206989	208345	-	y	0
103	CCNA_00197	CCNA_00198	211121	212256	-	y	0
108	CCNA_00204	CCNA_03916	218336	221085	-	y	0
110	CCNA_00208	CCNA_00208	222283	223272	-	n	0
119	CCNA_00221	CCNA_00221	237642	238136	-	n	0
121	CCNA_00224	CCNA_00224	240648	242693	-	n	0
128	CCNA_00232	CCNA_00232	247537	247953	-	n	0
130	CCNA_00235	CCNA_00236	250273	252308	-	y	0
132	CCNA_00243	CCNA_00243	256412	256810	-	n	0
135	CCNA_00248	CCNA_00248	259514	260914	-	n	0
140	CCNA_00255	CCNA_00256	268063	270057	-	y	0
148	CCNA_00264	CCNA_00264	276384	277637	-	n	0
150	CCNA_00266	CCNA_00266	279599	280837	-	n	0
151	CCNA_00267	CCNA_00267	280931	281872	-	n	0
154	CCNA_00275	CCNA_00275	288082	289527	-	n	0
155	CCNA_00276	CCNA_00276	289617	290096	-	n	0
164	CCNA_00297	CCNA_00298	311039	312666	-	y	0
168	CCNA_00303	CCNA_00307	317027	322868	-	y	0
173	CCNA_00319	CCNA_00319	334224	334757	-	n	0
178	CCNA_00327	CCNA_00327	339828	340490	-	n	0
189	CCNA_00348	CCNA_00348	362218	364221	-	n	0
208	CCNA_00377	CCNA_00379	391953	396640	-	y	0
217	CCNA_00389	CCNA_00389	405104	405895	-	n	0
228	CCNA_00408	CCNA_00408	423040	424308	-	n	0
230	CCNA_00415	CCNA_00415	428613	429584	-	n	0
231	CCNA_00416	CCNA_00417	429725	430498	-	y	0
239	CCNA_00430	CCNA_00430	437556	437741	-	n	0
241	CCNA_00432	CCNA_00432	438156	438650	-	n	0
250	CCNA_00452	CCNA_03920	458721	461868	-	y	0
257	CCNA_00468	CCNA_00468	481820	481933	-	n	0
261	CCNA_00473	CCNA_00476	488274	493709	-	y	0
262	CCNA_00477	CCNA_00477	494090	494284	-	n	0
265	CCNA_00480	CCNA_00480	495724	497022	-	n	0
275	CCNA_00498	CCNA_00498	515285	515404	-	n	0
288	CCNA_00520	CCNA_00520	535198	536136	-	n	0
289	CCNA_00521	CCNA_00525	536277	539654	-	y	0
294	CCNA_00533	CCNA_00533	544865	546187	-	n	0
298	CCNA_00539	CCNA_00539	558249	559709	-	n	0
307	CCNA_00552	CCNA_00553	568956	570172	-	y	0
314	CCNA_00566	CCNA_00566	582330	583541	-	n	0
315	CCNA_00567	CCNA_00570	583664	589130	-	y	0
322	CCNA_00583	CCNA_00583	611838	613205	-	n	0
325	CCNA_00586	CCNA_00586	614415	615746	-	n	0
329	CCNA_00593	CCNA_00594	622934	626342	-	y	0
330	CCNA_00595	CCNA_00596	626899	628364	-	y	0
332	CCNA_00598	CCNA_00598	631886	634816	-	n	0
342	CCNA_00616	CCNA_00616	660157	660612	-	n	0
344	CCNA_00621	CCNA_00621	666047	666601	-	n	0
347	CCNA_00624	CCNA_00624	669233	670396	-	n	0
349	CCNA_00626	CCNA_00626	670929	672842	-	n	0
350	CCNA_00627	CCNA_00628	672921	673771	-	y	0
354	CCNA_00640	CCNA_00640	691897	692172	-	n	0
359	CCNA_00655	CCNA_00655	708328	710310	-	n	0
361	CCNA_00660	CCNA_00663	717822	719943	-	y	0
365	CCNA_00672	CCNA_00672	729890	730693	-	n	0
369	CCNA_00680	CCNA_00681	736612	737981	-	y	0
371	CCNA_00683	CCNA_00685	738931	741725	-	y	0
373	CCNA_00687	CCNA_00688	743356	745096	-	y	0
379	CCNA_00695	CCNA_00695	754514	756148	-	n	0
381	CCNA_00698	CCNA_00698	757318	757815	-	n	0
388	CCNA_00706	CCNA_00706	763590	764003	-	n	0
389	CCNA_00707	CCNA_00708	764103	767110	-	y	0
391	CCNA_00710	CCNA_00710	767521	768690	-	n	0
393	CCNA_00712	CCNA_00712	769938	770252	-	n	0
395	CCNA_03926	CCNA_00714	770292	770709	-	y	0
397	CCNA_00716	CCNA_00716	771391	771567	-	n	0
404	CCNA_00725	CCNA_00726	780950	782970	-	y	0
408	CCNA_00731	CCNA_00731	787361	789274	-	n	0
412	CCNA_00738	CCNA_00738	797019	798110	-	n	0
414	CCNA_00740	CCNA_00742	798513	800797	-	y	0
417	CCNA_00745	CCNA_00746	802070	803496	-	y	0
420	CCNA_00750	CCNA_00751	807593	810233	-	y	0
422	CCNA_00753	CCNA_00753	811400	812437	-	n	0
423	CCNA_00754	CCNA_00754	812595	813296	-	n	0
424	CCNA_00755	CCNA_00756	813444	814120	-	y	0
425	CCNA_00757	CCNA_00757	814256	815314	-	n	0
427	CCNA_00759	CCNA_00759	816201	818675	-	n	0
428	CCNA_00760	CCNA_00760	818810	820510	-	n	0
434	CCNA_00772	CCNA_00772	827021	827239	-	n	0
437	CCNA_00775	CCNA_00775	830436	831593	-	n	0
438	CCNA_00776	CCNA_00776	831686	835249	-	n	0
