operon no.	locus tag	start	end 	sense		in operon	strand	in_operon	P1	P2	P3	P4	TSS_type	number_of_TSS	internal 	flag	non-coding	RNA	distance_between_start_and_first_tss
1	CCNA_00001	202	1107	+	CDS	y	+	y	122	0	0	0	TRUE	1	y	complex	0	0	80
1	CCNA_00002	1104	1703	+	CDS	y	+	y	122	0	0	0	TRUE	1	y	complex	0	0	80
1	CCNA_00003	1700	2557	+	CDS	y	+	y	122	0	0	0	TRUE	1	y	complex	0	0	80
1	CCNA_00004	2559	3158	+	CDS	y	+	y	122	0	0	0	TRUE	1	y	complex	0	0	80
1	CCNA_00005	3190	3903	+	CDS	y	+	y	122	0	0	0	TRUE	1	y	complex	0	0	80
2	CCNA_00006	4022	4810	+	CDS	n	+	n	4003	0	0	0	TRUE	1	n	simple	0	0	19
3	CCNA_00007	4960	5235	+	CDS	n	+	n	4902	4908	4918	0	TRUE	multiple	n	complex	0	0	58
4	CCNA_00008	5636	7108	+	CDS	n	+	n	5481	0	0	0	TRUE	1	n	simple	0	0	155
6	CCNA_00010	8165	10060	+	CDS	y	+	y	7974	8019	0	0	TRUE	multiple	n	complex	0	0	191
6	CCNA_00011	10223	11380	+	CDS	y	+	y	7974	8019	0	0	TRUE	multiple	n	complex	0	0	191
7	CCNA_00012	11467	14178	+	CDS	y	+	y	11464	0	0	0	POTENTIAL	1	n	complex	1	CCNA_R0096	3
7	CCNA_00013	14199	17021	+	CDS	y	+	y	11464	0	0	0	POTENTIAL	1	n	complex	1	CCNA_R0096	3
9	CCNA_00019	19815	20447	+	CDS	n	+	n	19793	0	0	0	POTENTIAL	1	n	simple	0	0	22
12	CCNA_00023	23742	24074	+	CDS	y	+	y	23739	0	0	0	TRUE	1	n	simple	0	0	3
12	CCNA_00024	24091	24981	+	CDS	y	+	y	23739	0	0	0	TRUE	1	n	simple	0	0	3
15	CCNA_00029	32914	33546	+	CDS	y	+	y	32810	0	0	0	TRUE	1	n	simple	0	0	104
15	CCNA_00030	33595	34329	+	CDS	y	+	y	32810	0	0	0	TRUE	1	n	simple	0	0	104
20	CCNA_00045	49105	49638	+	CDS	n	+	n	49062	0	0	0	TRUE	1	n	simple	0	0	43
26	CCNA_00061	61885	63153	+	CDS	n	+	n	61859	0	0	0	POTENTIAL	1	n	simple	0	0	26
31	CCNA_00070	71977	72945	+	CDS	y	+	y	71945	0	0	0	TRUE	1	n	simple	0	0	32
31	CCNA_00071	72950	73636	+	CDS	y	+	y	71945	0	0	0	TRUE	1	n	simple	0	0	32
31	CCNA_00072	73680	74576	+	CDS	y	+	y	71945	0	0	0	TRUE	1	n	simple	0	0	32
31	CCNA_00073	74573	76108	+	CDS	y	+	y	71945	0	0	0	TRUE	1	n	simple	0	0	32
34	CCNA_00080	84087	84728	+	CDS	n	+	n	83924	84058	0	0	POTENTIAL	multiple	n	simple	0	0	163
38	CCNA_00084	89053	90642	+	CDS	y	+	y	88951	0	0	0	TRUE	1	y	complex	0	0	102
38	CCNA_00085	90655	91413	+	CDS	y	+	y	88951	0	0	0	TRUE	1	y	complex	0	0	102
41	CCNA_00088	97841	99385	+	CDS	n	+	n	97773	97818	0	0	TRUE	multiple	n	complex	0	0	68
48	CCNA_00096	107402	108280	+	CDS	y	+	y	107368	0	0	0	TRUE	1	n	simple	0	0	34
48	CCNA_00097	108334	108792	+	CDS	y	+	y	107368	0	0	0	TRUE	1	n	simple	0	0	34
50	CCNA_00102	113151	113375	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
51	CCNA_00103	113463	115160	+	CDS	n	+	n	0	0	0	0	NO	0	n	simple	0	0	0
53	CCNA_00105	116088	116786	+	CDS	y	+	y	116055	0	0	0	TRUE	1	n	simple	0	0	33
53	CCNA_00106	116834	118099	+	CDS	y	+	y	116055	0	0	0	TRUE	1	n	simple	0	0	33
56	CCNA_00111	120752	121498	+	CDS	y	+	y	120655	120723	0	0	TRUE	multiple	n	complex	0	0	97
56	CCNA_00112	121503	121892	+	CDS	y	+	y	120655	120723	0	0	TRUE	multiple	n	complex	0	0	97
58	CCNA_00113	121972	122544	+	CDS	y	+	y	121946	0	0	0	POTENTIAL	1	n	simple	0	0	26
58	CCNA_00114	122547	122852	+	CDS	y	+	y	121946	0	0	0	POTENTIAL	1	n	simple	0	0	26
59	CCNA_00115	122939	126268	+	CDS	n	+	n	122905	0	0	0	POTENTIAL	1	n	simple	0	0	34
61	CCNA_00117	127915	129735	+	CDS	y	+	y	127853	127859	0	0	TRUE	multiple	y	complex	0	0	62
61	CCNA_00118	129746	131989	+	CDS	y	+	y	127853	127859	0	0	TRUE	multiple	y	complex	0	0	62
61	CCNA_00119	131977	132438	+	CDS	y	+	y	127853	127859	0	0	TRUE	multiple	y	complex	0	0	62
61	CCNA_00120	132435	132953	+	CDS	y	+	y	127853	127859	0	0	TRUE	multiple	y	complex	0	0	62
64	CCNA_00123	133900	134682	+	CDS	n	+	n	133846	0	0	0	POTENTIAL	1	n	simple	0	0	54
66	CCNA_00127	136811	137011	+	CDS	n	+	n	136696	0	0	0	TRUE	1	n	simple	0	0	115
72	CCNA_00131	141119	141541	+	CDS	y	+	y	140974	0	0	0	TRUE	1	y	complex	0	0	145
