operon no.	locus tag	start	end	sense		in operon	strand	in_operon	P1	P2	P3	P4	TSS_type	number_of_TSS	internal 	flag	non-coding	RNA	distance_between_start_and_first_tss
5	CCNA_00009	4035140	4035760	-	CDS	n	-	n					NO	0	n	simple	0	0	
8	CCNA_00014	4025436	4025912	-	CDS	y	-	y	4023141				POTENTIAL	1	n	simple	0	0	2295
8	CCNA_00015	4024888	4025439	-	CDS	y	-	y	4023141				POTENTIAL	1	n	simple	0	0	1747
8	CCNA_00016	4024435	4024887	-	CDS	y	-	y	4023141				POTENTIAL	1	n	simple	0	0	1294
8	CCNA_00017	4024199	4024438	-	CDS	y	-	y	4023141				POTENTIAL	1	n	simple	0	0	1058
8	CCNA_00018	4023146	4024195	-	CDS	y	-	y	4023141				POTENTIAL	1	n	simple	0	0	5
10	CCNA_00020	4022262	4022486	-	CDS	y	-	y	4022152				TRUE	1	y	complex	0	0	110
10	CCNA_03911	4022152	4022265	-	CDS	y	-	y	4022152				TRUE	1	y	complex	0	0	0
11	CCNA_00021	4019898	4022090	-	CDS	y	-	y					NO	0	y	complex	0	0	
11	CCNA_00022	4019371	4019901	-	CDS	y	-	y					NO	0	y	complex	0	0	
13	CCNA_00025	4016287	4017939	-	CDS	y	-	y	4013510				POTENTIAL	1	y	complex	0	0	2777
13	CCNA_00026	4013527	4016229	-	CDS	y	-	y	4013510				POTENTIAL	1	y	complex	0	0	17
14	CCNA_00027	4012739	4013428	-	CDS	y	-	y	4010222				TRUE	1	n	complex	1	CCNA_R0097	2517
14	CCNA_00028	4010272	4012593	-	CDS	y	-	y	4010222				TRUE	1	n	complex	1	CCNA_R0097	50
16	CCNA_00031	4008232	4008618	-	CDS	y	-	y	4007975				TRUE	1	n	simple	0	0	257
16	CCNA_00032	4007989	4008231	-	CDS	y	-	y	4007975				TRUE	1	n	simple	0	0	14
17	CCNA_00033	4004968	4007106	-	CDS	y	-	y	4002989				POTENTIAL	1	y	complex	0	0	1979
17	CCNA_00034	4004450	4004719	-	CDS	y	-	y	4002989				POTENTIAL	1	y	complex	0	0	1461
17	CCNA_00035	4003503	4004435	-	CDS	y	-	y	4002989				POTENTIAL	1	y	complex	0	0	514
17	CCNA_00036	4003051	4003500	-	CDS	y	-	y	4002989				POTENTIAL	1	y	complex	0	0	62
18	CCNA_00037	4002162	4002950	-	CDS	y	-	y	3997156	3997167			TRUE	multiple	n	complex	0	0	5006
18	CCNA_00038	4001527	4002102	-	CDS	y	-	y	3997156	3997167			TRUE	multiple	n	complex	0	0	4371
18	CCNA_00039	4001009	4001527	-	CDS	y	-	y	3997156	3997167			TRUE	multiple	n	complex	0	0	3853
18	CCNA_00040	4000419	4000970	-	CDS	y	-	y	3997156	3997167			TRUE	multiple	n	complex	0	0	3263
18	CCNA_00041	3997316	4000345	-	CDS	y	-	y	3997156	3997167			TRUE	multiple	n	complex	0	0	160
19	CCNA_00042	3996387	3997037	-	CDS	y	-	y	3993971				TRUE	1	y	complex	1	CCNA_R0098	2416
19	CCNA_00043	3994662	3996308	-	CDS	y	-	y	3993971				TRUE	1	y	complex	1	CCNA_R0098	691
19	CCNA_00044	3994084	3994659	-	CDS	y	-	y	3993971				TRUE	1	y	complex	1	CCNA_R0098	113
21	CCNA_00046	3992899	3993285	-	CDS	n	-	n	3992861				TRUE	1	n	simple	0	0	38
22	CCNA_00049	3990251	3990685	-	CDS	y	-	y	3984919				TRUE	1	y	complex	0	0	5332
22	CCNA_00050	3988631	3990223	-	CDS	y	-	y	3984919				TRUE	1	y	complex	0	0	3712
22	CCNA_00051	3987708	3988634	-	CDS	y	-	y	3984919				TRUE	1	y	complex	0	0	2789
22	CCNA_00052	3987244	3987699	-	CDS	y	-	y	3984919				TRUE	1	y	complex	0	0	2325
22	CCNA_00053	3986262	3987206	-	CDS	y	-	y	3984919				TRUE	1	y	complex	0	0	1343
22	CCNA_00054	3984919	3986265	-	CDS	y	-	y	3984919				TRUE	1	y	complex	0	0	0
22.1	CCNA_00047	3992118	3992798	-	CDS	n	-	y	3990744				TRUE	1	n	simple	0	0	1374
22.1	CCNA_00048	3990805	3992028	-	CDS	y	-	y	3990744				TRUE	1	n	simple	0	0	61
23	CCNA_00056	3983824	3984276	-	CDS	y	-	y	3982544				POTENTIAL	1	n	simple	0	0	1280
23	CCNA_00057	3983180	3983815	-	CDS	y	-	y	3982544				POTENTIAL	1	n	simple	0	0	636
23	CCNA_00058	3982544	3983176	-	CDS	y	-	y	3982544				POTENTIAL	1	n	simple	0	0	0
23.1	CCNA_00055	3984322	3984729	-	CDS	n	-	n					NO	0	n	simple	0	0	
24	CCNA_00059	3981809	3982396	-	CDS	n	-	n					NO	0	n	simple	0	0	
25	CCNA_00060	3981167	3981739	-	CDS	n	-	n	3981167				TRUE	1	n	simple	0	0	0
27	CCNA_00062	3978569	3979603	-	CDS	n	-	y	3978443				TRUE	1	y	complex	0	0	126
28	CCNA_00063	3976839	3978401	-	CDS	n	-	n	3976626				POTENTIAL	1	n	simple	0	0	213
29	CCNA_00064	3974803	3976599	-	CDS	n	-	n					NO	0	n	simple	0	0	
30	CCNA_00065	3973868	3974641	-	CDS	y	-	y	3970978	3970996			TRUE	multiple	y	complex	0	0	2890
30	CCNA_00066	3973442	3973810	-	CDS	y	-	y	3970978	3970996			TRUE	multiple	y	complex	0	0	2464
30	CCNA_00067	3973156	3973437	-	CDS	y	-	y	3970978	3970996			TRUE	multiple	y	complex	0	0	2178
30	CCNA_00068	3972126	3973136	-	CDS	y	-	y	3970978	3970996			TRUE	multiple	y	complex	0	0	1148
30	CCNA_00069	3971026	3972129	-	CDS	y	-	y	3970978	3970996			TRUE	multiple	y	complex	0	0	48
32	CCNA_00074	3964252	3966453	-	CDS	y	-	y					NO	0	n	simple	0	0	
32	CCNA_00075	3963022	3964227	-	CDS	y	-	y					NO	0	n	simple	0	0	
33	CCNA_00076	3962572	3962955	-	CDS	y	-	y	3958979				TRUE	1	y	complex	0	0	3593
33	CCNA_00077	3961400	3962575	-	CDS	y	-	y	3958979				TRUE	1	y	complex	0	0	2421
33	CCNA_00078	3959604	3961397	-	CDS	y	-	y	3958979				TRUE	1	y	complex	0	0	625
33	CCNA_00079	3959037	3959516	-	CDS	y	-	y	3958979				TRUE	1	y	complex	0	0	58
35	CCNA_00081	3957958	3958167	-	CDS	n	-	n	3957923	3957935			TRUE	multiple	n	complex	0	0	35
36	CCNA_00082	3956050	3957708	-	CDS	n	-	n	3956050				POTENTIAL	1	n	simple	0	0	0
37	CCNA_00083	3954247	3955887	-	CDS	n	-	n	3954217				POTENTIAL	1	n	simple	0	0	30
39	CCNA_00086	3946640	3951463	-	CDS	n	-	n	3946520				TRUE	1	n	simple	0	0	120
