Gene	Start	Stop	Strand	Leaderless?
Rv0001	1	1524	+	N
Rv0002	2052	3260	+	N
Rv0003	3280	4437	+	N
Rv0004	4434	4997	+	N
Rv0005	5123	7267	+	N
Rv0006	7302	9818	+	N
Rv0007	9914	10828	+	N
Rvnt01	10887	10960	+	N
Rvnt02	11112	11184	+	N
Rv0008c	12311	11874	-	N
Rv0009	12486	13016	+	Y
Rv0010c	13558	13133	-	N
Rv0011c	13995	13714	-	N
Rv0012	14089	14877	+	N
Rv0013	14914	15612	+	Y
Rv0014c	17470	15590	-	N
Rv0015c	18762	17467	-	N
Rv0016c	20234	18759	-	N
Rv0017c	21640	20231	-	N
Rv0018c	23181	21637	-	N
Rv0019c	23737	23270	-	N
Rv0020c	25444	23861	-	N
Rvnt03	25644	25726	+	N
Rv0021c	26881	25913	-	N
Rv0022c	27442	27023	-	N
Rv0023	27595	28365	+	N
Rv0024	28362	29207	+	N
Rv0025	29245	29607	+	N
Rv0026	29722	31068	+	N
Rv0027	31189	31506	+	N
Rv0028	31514	31819	+	N
Rv0029	32057	33154	+	Y
Rv0030	33227	33553	+	Y
Rv0031	33582	33794	+	N
Rv0032	34295	36610	+	N
Rv0033	36607	36870	+	N
Rv0034	36867	37262	+	N
Rv0035	37259	38947	+	N
Rv0036c	39829	39056	-	N
Rv0037c	41202	39877	-	N
Rv0038	41307	41912	+	Y
Rv0039c	42351	42004	-	N
Rv0040c	43365	42433	-	N
Rv0041	43562	46471	+	Y
Rv0042c	47084	46581	-	Y
Rv0043c	48100	47366	-	N
Rv0044c	49027	48233	-	Y
Rv0045c	49939	49043	-	N
Rv0046c	51124	50021	-	N
Rv0047c	51727	51185	-	N
Rv0048c	52697	51828	-	Y
Rv0049	52810	53244	+	Y
Rv0050	53663	55699	+	N
Rv0051	55696	57378	+	N
Rv0052	57410	57973	+	N
Rv0053	58192	58482	+	N
Rv0054	58586	59080	+	N
Rv0055	59122	59376	+	N
Rv0056	59409	59867	+	N
Rv0057	59896	60417	+	N
Rv0058	60396	63020	+	N
Rv0059	63200	63892	+	N
Rv0060	63909	64967	+	N
Rv0061	64991	65416	+	N
Rv0062	65678	66694	+	Y
Rv0063	66923	68362	+	N
Rv0064	68620	71559	+	N
Rv0065	71821	72222	+	N
Rv0066c	74511	72274	-	N
Rv0067c	75198	74629	-	N
Rv0068	75301	76212	+	N
Rv0069c	77622	76237	-	N
Rv0070c	78896	77619	-	N
Rv0071	79486	80193	+	N
Rv0072	80624	81673	+	Y
Rv0073	81676	82668	+	N
Rv0074	82748	83983	+	N
Rv0075	83996	85168	+	N
Rv0076c	85563	85183	-	Y
Rv0077c	86466	85636	-	N
Rv0078	86528	87133	+	N
Rv0078A	87801	87208	-	N
Rv0079	88204	89025	+	N
Rv0080	89022	89480	+	N
Rv0081	89575	89919	+	N
Rv0082	89924	90403	+	N
Rv0083	90400	92322	+	N
Rv0084	92328	93278	+	N
Rv0085	93289	93951	+	N
Rv0086	93951	95417	+	N
Rv0087	95414	96892	+	N
Rv0088	96927	97601	+	N
Rv0089	97758	98351	+	N
Rv0090	98480	99250	+	N
Rv0091	99684	100451	+	N
Rv0092	100583	102868	+	N
Rv0093c	103525	102815	-	Y
Rv0094c	104663	103710	-	N
Rv0095c	105215	104805	-	N
Rv0096	105324	106715	+	N
Rv0097	106734	107603	+	N
Rv0098	107600	108151	+	N
Rv0099	108156	109778	+	N
Rv0100	109783	110019	+	N
Rv0101	110001	117539	+	N
Rv0102	117714	119699	+	Y
Rv0103c	122173	119915	-	N
Rv0104	122317	123831	+	N
Rv0105c	124264	123980	-	N
Rv0106	124374	125570	+	N
