id	source	region	left	right	feature	strand	new_locus	old_locus
NC_013967.1	RefSeq	gene	258	1952		+	HVO_RS04710	HVO_0001
NC_013967.1	RefSeq	gene	2000	2797		-	HVO_RS04715	HVO_0002
NC_013967.1	RefSeq	gene	2942	4543		+	HVO_RS04720	HVO_0003
NC_013967.1	RefSeq	gene	4686	5813		+	HVO_RS04725	HVO_0004
NC_013967.1	RefSeq	gene	5936	6745		-	HVO_RS04730	HVO_0005
NC_013967.1	RefSeq	gene	6854	7282		-	HVO_RS04735	HVO_0006
NC_013967.1	RefSeq	gene	8629	8787		-		HVO_0007
NC_013967.1	RefSeq	gene	7470	8648		+	HVO_RS04740	HVO_0008
NC_013967.1	RefSeq	gene	8873	10219		+	HVO_RS04745	HVO_0009
NC_013967.1	RefSeq	gene	10248	10907		-	HVO_RS04750	HVO_0010
NC_013967.1	RefSeq	gene	10956	11528		-	HVO_RS04755	HVO_0011
NC_013967.1	RefSeq	gene	11897	12391		-	HVO_RS04765	HVO_0013
NC_013967.1	RefSeq	gene	12388	14871		-	HVO_RS04770	HVO_0014
NC_013967.1	RefSeq	gene	14980	15225		+	HVO_RS04775	HVO_0015
NC_013967.1	RefSeq	gene	15479	16336		+	HVO_RS04780	HVO_0016
NC_013967.1	RefSeq	gene	16358	16936		-	HVO_RS04785	HVO_0017
NC_013967.1	RefSeq	gene	17030	17488		-	HVO_RS04790	HVO_0018
NC_013967.1	RefSeq	gene	17615	18295		+	HVO_RS04795	HVO_0019
NC_013967.1	RefSeq	gene	18323	19408		-	HVO_RS04800	HVO_0020
NC_013967.1	RefSeq	gene	19512	21233		-	HVO_RS04805	HVO_0021
NC_013967.1	RefSeq	gene	21243	22379		-	HVO_RS04810	HVO_0022
NC_013967.1	RefSeq	gene	22510	23400		+	HVO_RS04815	HVO_0023
NC_013967.1	RefSeq	gene	23410	24186		-	HVO_RS04820	HVO_0024
NC_013967.1	RefSeq	gene	24438	25298		+	HVO_RS04825	HVO_0025
NC_013967.1	RefSeq	gene	25352	26794		-	HVO_RS04830	HVO_0026
NC_013967.1	RefSeq	gene	26974	27573		+	HVO_RS04835	HVO_0027
NC_013967.1	RefSeq	gene	27832	28101		-	HVO_RS04840	HVO_0028
NC_013967.1	RefSeq	gene	28190	30286		+	HVO_RS04845	HVO_0029
NC_013967.1	RefSeq	gene	30293	30712		+	HVO_RS04850	HVO_0030
NC_013967.1	RefSeq	gene	30912	31106		+	HVO_RS20090	HVO_0031
NC_013967.1	RefSeq	gene	31121	32206		+	HVO_RS04855	HVO_0032
NC_013967.1	RefSeq	gene	32276	32716		+	HVO_RS04860	HVO_0033
NC_013967.1	RefSeq	gene	32744	33238		-	HVO_RS04865	HVO_0034
NC_013967.1	RefSeq	gene	33689	34879		-	HVO_RS04870	HVO_0035
NC_013967.1	RefSeq	gene	34980	35174		+	HVO_RS04875	HVO_0036
NC_013967.1	RefSeq	gene	35225	35722		+	HVO_RS04880	HVO_0037
NC_013967.1	RefSeq	gene	35776	37152		-	HVO_RS04885	HVO_0038
NC_013967.1	RefSeq	gene	37234	39438		-	HVO_RS04890	HVO_0039
NC_013967.1	RefSeq	gene	39586	40056		+	HVO_RS04895	HVO_0040
NC_013967.1	RefSeq	gene	40093	40992		-	HVO_RS04900	HVO_0041
NC_013967.1	RefSeq	gene	41076	42221		-	HVO_RS04905	HVO_0042
NC_013967.1	RefSeq	gene	42218	43354		-	HVO_RS04910	HVO_0043
NC_013967.1	RefSeq	gene	43351	44334		-	HVO_RS04915	HVO_0044
NC_013967.1	RefSeq	gene	44389	45432		-	HVO_RS04920	HVO_0045
NC_013967.1	RefSeq	gene	45429	46304		-	HVO_RS04925	HVO_0046
NC_013967.1	RefSeq	gene	46306	46485		-	HVO_RS04930	HVO_0047
NC_013967.1	RefSeq	gene	46806	48272		-	HVO_RS04935	HVO_0048
NC_013967.1	RefSeq	gene	48274	49491		-	HVO_RS04940	HVO_0049
NC_013967.1	RefSeq	gene	49766	49882		-		HVO_0050
NC_013967.1	RefSeq	gene	49976	51190		-	HVO_RS04945	HVO_0051
NC_013967.1	RefSeq	gene	51190	51675		-	HVO_RS04950	HVO_0052
NC_013967.1	RefSeq	gene	51719	52321		-	HVO_RS04955	HVO_0053
NC_013967.1	RefSeq	gene	52328	54112		-	HVO_RS04960	HVO_0054
NC_013967.1	RefSeq	gene	54105	54959		-	HVO_RS04965	HVO_0055
