operon_no.	start_gene	last_gene	start_position	last_position	strand	in_operon	changed
5	CCNA_00009	CCNA_00009	7170	7790	-	n	0
8	CCNA_00014	CCNA_00018	17018	19784	-	y	0
10	CCNA_00020	CCNA_03911	20444	20778	-	y	0
11	CCNA_00021	CCNA_00022	20840	23559	-	y	0
13	CCNA_00025	CCNA_00026	24991	29403	-	y	0
14	CCNA_00027	CCNA_00028	29502	32658	-	y	0
16	CCNA_00031	CCNA_00032	34312	34941	-	y	0
17	CCNA_00033	CCNA_00036	35824	39879	-	y	0
18	CCNA_00037	CCNA_00041	39980	45614	-	y	0
19	CCNA_00042	CCNA_00044	45893	48846	-	y	0
21	CCNA_00046	CCNA_00046	49645	50031	-	n	0
22	CCNA_00049	CCNA_00054	52245	58011	-	y	0
22.1	CCNA_00047	CCNA_00048	50132	52125	-	y	0
23	CCNA_00056	CCNA_00058	58654	60386	-	y	0
23.1	CCNA_00055	CCNA_00055	58201	58608	-	n	0
24	CCNA_00059	CCNA_00059	60534	61121	-	n	0
25	CCNA_00060	CCNA_00060	61191	61763	-	n	0
27	CCNA_00062	CCNA_03913	63327	64487	-	y	1
28	CCNA_00063	CCNA_00063	64529	66091	-	n	0
29	CCNA_00064	CCNA_00064	66331	68127	-	n	0
30	CCNA_00065	CCNA_00069	68289	71904	-	y	0
32	CCNA_00074	CCNA_00075	76477	79908	-	y	0
33	CCNA_00076	CCNA_00079	79975	83893	-	y	0
35	CCNA_00081	CCNA_00081	84763	84972	-	n	0
36	CCNA_00082	CCNA_00082	85222	86880	-	n	0
37	CCNA_00083	CCNA_00083	87043	88683	-	n	0
39	CCNA_00086	CCNA_00086	91467	96290	-	n	0
40	CCNA_00087	CCNA_00087	96628	97737	-	n	0
42	CCNA_00089	CCNA_00089	99466	101895	-	n	0
43	CCNA_00090	CCNA_00090	101960	102943	-	n	0
44	CCNA_00091	CCNA_00092	103149	104929	-	y	0
45	CCNA_00093	CCNA_00093	105028	105237	-	n	0
47	CCNA_00094	CCNA_00095	105310	107332	-	y	0
49	CCNA_00101	CCNA_00101	111745	113034	-	n	0
49.1	CCNA_00098	CCNA_00100	108943	111638	-	y	0
52	CCNA_00104	CCNA_00104	115289	115990	-	n	0
54	CCNA_00107	CCNA_00110	118260	120675	-	y	0
60	CCNA_00116	CCNA_00116	126407	127753	-	n	0
63	CCNA_00121	CCNA_00122	132950	133827	-	y	0
65	CCNA_00126	CCNA_00126	136184	136591	-	n	0
65.1	CCNA_00124	CCNA_00125	134826	136177	-	y	0
67	CCNA_00128	CCNA_00128	137246	138472	-	n	0
68	CCNA_00129	CCNA_00130	138555	140918	-	y	0
74	CCNA_00136	CCNA_00137	145273	148530	-	y	0
76	CCNA_00139	CCNA_00139	150993	152600	-	n	0
77	CCNA_00140	CCNA_00145	152709	157568	-	y	0
81	CCNA_00150	CCNA_00150	159320	160297	-	n	0
82	CCNA_00151	CCNA_00151	160464	161180	-	n	0
84	CCNA_00154	CCNA_00154	162975	163235	-	n	0
90	CCNA_00165	CCNA_00165	177092	177745	-	n	0
91	CCNA_00166	CCNA_00166	178252	179070	-	n	0
97	CCNA_00183	CCNA_00185	196250	199810	-	y	0
98	CCNA_00186	CCNA_00188	200286	203725	-	y	0
100	CCNA_00192	CCNA_00192	205174	206793	-	n	0
101	CCNA_00193	CCNA_00194	206989	208345	-	y	0
102	CCNA_00195	CCNA_00196	208487	210531	-	y	0
103	CCNA_00197	CCNA_00198	211121	212256	-	y	0
105	CCNA_00200	CCNA_00200	214320	215255	-	n	0
108	CCNA_00204	CCNA_03916	218336	221085	-	y	0
110	CCNA_00208	CCNA_00208	222283	223272	-	n	0
111	CCNA_00209	CCNA_00209	223353	224927	-	n	0
115	CCNA_00216	CCNA_00216	233470	233862	-	n	0
117	CCNA_00218	CCNA_00218	236131	236877	-	n	0
119	CCNA_00221	CCNA_00221	237642	238136	-	n	0
121	CCNA_00224	CCNA_00224	240648	242693	-	n	0
124	CCNA_00227	CCNA_00228	243490	244670	-	y	0
126	CCNA_00230	CCNA_00230	245765	247003	-	n	0
128	CCNA_00232	CCNA_00232	247537	247953	-	n	0
130	CCNA_00235	CCNA_00236	250273	252308	-	y	0
132	CCNA_00243	CCNA_00243	256412	256810	-	n	0
134	CCNA_00247	CCNA_00247	258879	259436	-	n	0
135	CCNA_00248	CCNA_00248	259514	260914	-	n	0
137	CCNA_00252	CCNA_00252	263784	265745	-	n	0
140	CCNA_00255	CCNA_00256	268063	270057	-	y	0
141	CCNA_00257	CCNA_00257	270176	271567	-	n	0
143	CCNA_00259	CCNA_00259	271910	272620	-	n	0
144	CCNA_00260	CCNA_00260	272872	273558	-	n	0
147	CCNA_00263	CCNA_00263	275815	276237	-	n	0
148	CCNA_00264	CCNA_00264	276384	277637	-	n	0
150	CCNA_00266	CCNA_00266	279599	280837	-	n	0
151	CCNA_00267	CCNA_00267	280931	281872	-	n	0
154	CCNA_00275	CCNA_00275	288082	289527	-	n	0
155	CCNA_00276	CCNA_00276	289617	290096	-	n	0
157	CCNA_00280	CCNA_00281	292898	294567	-	y	0
159	CCNA_00283	CCNA_00285	295109	297542	-	y	0
160	CCNA_00286	CCNA_00287	297735	299318	-	y	0
161	CCNA_00288	CCNA_00289	299485	300797	-	y	0
162	CCNA_00290	CCNA_00290	301048	304305	-	n	0
164	CCNA_00297	CCNA_00298	311039	312666	-	y	0
166	CCNA_00300	CCNA_00300	313978	314385	-	n	0
168	CCNA_00303	CCNA_00307	317027	322868	-	y	0
170	CCNA_00309	CCNA_00312	323812	326630	-	y	0
171	CCNA_00313	CCNA_00317	326715	332971	-	y	0
173	CCNA_00319	CCNA_00319	334224	334757	-	n	0
174	CCNA_00320	CCNA_00321	334940	335755	-	y	0
176	CCNA_00324	CCNA_00324	337932	338390	-	n	0
178	CCNA_00327	CCNA_00327	339828	340490	-	n	0
180	CCNA_00330	CCNA_00330	341832	342602	-	n	0
182	CCNA_00333	CCNA_00333	344130	344957	-	n	0
186	CCNA_00345	CCNA_00345	359343	360176	-	n	0
189	CCNA_00348	CCNA_00348	362218	364221	-	n	0
190	CCNA_00349	CCNA_00350	364395	365986	-	y	0
192	CCNA_00352	CCNA_00352	368358	369155	-	n	0
198	CCNA_00358	CCNA_00358	374976	375836	-	n	0
201	CCNA_00361	CCNA_00365	377803	382655	-	y	0
