operon_no.	single/multi	strand	start_gene	last_gene	operon_left_cord	operon_right_cord	locus_tag	gene/RNA_type	name_gene	kegg_nomenclature	start_position	last_position	first_gene/in_operon	form	leaderless?	changed
1		+			1	10828	Rv0001				1	1524		1	N	
1		+			1	10828	Rv0002				2052	3260		1	N	
1		+			1	10828	Rv0003				3280	4437		1	N	
1		+			1	10828	Rv0004				4434	4997		1	N	
1		+			1	10828	Rv0005				5123	7267		1	N	
1		+			1	10828	Rv0006				7302	9818		1	N	
1		+			1	10828	Rv0007				9914	10828		1	N	
2		-			11874	13995	Rv0008c				12311	11874		1	N	
2		-			11874	13995	Rv0010c				13558	13133		1	N	
2		-			11874	13995	Rv0011c				13995	13714		1	N	
4		+			14089	15612	Rv0012				14089	14877		1	N	
4		+			14089	15612	Rv0013				14914	15612		1	Y	
5		-			15590	27442	Rv0014c				17470	15590		1	N	
5		-			15590	27442	Rv0015c				18762	17467		1	N	
5		-			15590	27442	Rv0016c				20234	18759		1	N	
5		-			15590	27442	Rv0017c				21640	20231		1	N	
5		-			15590	27442	Rv0018c				23181	21637		1	N	
5		-			15590	27442	Rv0019c				23737	23270		1	N	
5		-			15590	27442	Rv0020c				25444	23861		1	N	
5		-			15590	27442	Rv0021c				26881	25913		1	N	
5		-			15590	27442	Rv0022c				27442	27023		1	N	
6		+			27595	38947	Rv0023				27595	28365		1	N	
6		+			27595	38947	Rv0024				28362	29207		1	N	
6		+			27595	38947	Rv0025				29245	29607		1	N	
6		+			27595	38947	Rv0026				29722	31068		1	N	
6		+			27595	38947	Rv0027				31189	31506		1	N	
6		+			27595	38947	Rv0028				31514	31819		1	N	
6		+			27595	38947	Rv0029				32057	33154		1	Y	
6		+			27595	38947	Rv0030				33227	33553		1	Y	
6		+			27595	38947	Rv0031				33582	33794		1	N	
6		+			27595	38947	Rv0032				34295	36610		1	N	
6		+			27595	38947	Rv0033				36607	36870		1	N	
6		+			27595	38947	Rv0034				36867	37262		1	N	
6		+			27595	38947	Rv0035				37259	38947		1	N	
7		-			39056	43365	Rv0036c				39829	39056		1	N	
7		-			39056	43365	Rv0037c				41202	39877		1	N	
7		-			39056	43365	Rv0039c				42351	42004		1	N	
7		-			39056	43365	Rv0040c				43365	42433		1	N	
9		-			46581	52697	Rv0042c				47084	46581		1	Y	
